source_json,input_image,image_index,product_index,old_reference,gpt5_reference,reference_applied,size_csv,size_gpt5,price_csv,price_gpt5,confidence_reference,alignment_score,accepted,evidence,warnings
PHOTO-2026-06-08-15-47-08 3.json,input_images\PHOTO-2026-06-08-15-47-08 3.jpg,1,1,L028/6,L028/6,L028/6,,,1100.0,"1100,00",0.82,125.0,Oui,"étiquette jaune en bas à gauche ""L028/6"" avec prix","[""Le deuxième caractère peut être un zéro «0» ou la lettre «O». La devise du prix n’est pas précisée.""]"
PHOTO-2026-06-08-15-47-08 3.json,input_images\PHOTO-2026-06-08-15-47-08 3.jpg,1,2,L028/6,,,,,1100.0,,,,Non,,"[""Le deuxième caractère peut être un zéro «0» ou la lettre «O». La devise du prix n’est pas précisée."", ""Aucun produit GPT-5 aligné avec cette ligne CSV.""]"
PHOTO-2026-06-08-15-47-08.json,input_images\PHOTO-2026-06-08-15-47-08.jpg,1,1,,L001/6,L001/6,,,850.0,850 dh,0.98,100.0,Oui,Encadré jaune en bas à gauche : “L001/6 850 dh”,[]
PHOTO-2026-06-08-15-47-08.json,input_images\PHOTO-2026-06-08-15-47-08.jpg,1,2,,,,,,850.0,,,,Non,,"[""Aucun produit GPT-5 aligné avec cette ligne CSV.""]"
PHOTO-2026-06-08-15-47-08.json,input_images\PHOTO-2026-06-08-15-47-08.jpg,1,3,,,,,,850.0,,,,Non,,"[""Aucun produit GPT-5 aligné avec cette ligne CSV.""]"
PHOTO-2026-06-08-15-47-08.json,input_images\PHOTO-2026-06-08-15-47-08.jpg,1,4,,,,,,850.0,,,,Non,,"[""Aucun produit GPT-5 aligné avec cette ligne CSV.""]"
PHOTO-2026-06-08-15-47-08.json,input_images\PHOTO-2026-06-08-15-47-08.jpg,1,5,,,,,,850.0,,,,Non,,"[""Aucun produit GPT-5 aligné avec cette ligne CSV.""]"
PHOTO-2026-06-08-15-47-08.json,input_images\PHOTO-2026-06-08-15-47-08.jpg,1,6,,,,,,850.0,,,,Non,,"[""Aucun produit GPT-5 aligné avec cette ligne CSV.""]"
PHOTO-2026-06-08-15-47-08.json,input_images\PHOTO-2026-06-08-15-47-08.jpg,1,7,,,,,,850.0,,,,Non,,"[""Aucun produit GPT-5 aligné avec cette ligne CSV.""]"
PHOTO-2026-06-08-15-47-09 2.json,input_images\PHOTO-2026-06-08-15-47-09 2.jpg,1,2,,L007/6,L007/6,,,,1100 dh,0.98,100.0,Oui,"Encadré jaune en bas à gauche : ""L007/6 1100 dh""","[""Aucune taille/dimension lisible."", ""Logos/branding ignorés.""]"
PHOTO-2026-06-08-15-47-09 3.json,input_images\PHOTO-2026-06-08-15-47-09 3.jpg,1,2,,L006/12,L006/12,,,,2300 dh,0.97,100.0,Oui,Étiquette jaune en bas à gauche,"[""Aucune taille distincte lisible ; “/12” considéré comme partie de la référence.""]"
PHOTO-2026-06-08-15-47-09 4.json,input_images\PHOTO-2026-06-08-15-47-09 4.jpg,1,1,L006,L006/12,L006/12,,,2300.0,2300 dh,0.98,110.0,Oui,Encart jaune en bas à gauche : “L006/12 2300 dh”,[]
PHOTO-2026-06-08-15-47-09 4.json,input_images\PHOTO-2026-06-08-15-47-09 4.jpg,1,2,,,,,,,,,,Non,,"[""Aucun produit GPT-5 aligné avec cette ligne CSV.""]"
PHOTO-2026-06-08-15-47-09.json,input_images\PHOTO-2026-06-08-15-47-09.jpg,1,1,,L 002/6,L 002/6,,,750.0,750 dh,0.99,100.0,Oui,"Étiquette jaune en bas à gauche indiquant ""L 002/6 750 dh"".",[]
PHOTO-2026-06-08-15-47-10 2.json,input_images\PHOTO-2026-06-08-15-47-10 2.jpg,1,1,,MX 25-16 A,MX 25-16 A,,,3200.0,3200 dh,0.98,100.0,Oui,Étiquette jaune en bas à gauche,[]
PHOTO-2026-06-08-15-47-10 3.json,input_images\PHOTO-2026-06-08-15-47-10 3.jpg,1,1,,L007/12,L007/12,,,2300.0,2300 dh,0.98,100.0,Oui,Étiquette jaune en bas à gauche « L007/12 2300 dh »,"[""Logo de marque ignoré (règle 8).""]"
PHOTO-2026-06-08-15-47-10 7.json,input_images\PHOTO-2026-06-08-15-47-10 7.jpg,1,2,,6036,6036,,,,580 dh,0.98,100.0,Oui,Étiquette jaune en bas à gauche : '6036 580 dh',[]
PHOTO-2026-06-08-15-47-10.json,input_images\PHOTO-2026-06-08-15-47-10.jpg,1,,,MX 25-16,MX 25-16,,,,3200 dh,0.98,100.0,Oui,étiquette jaune en bas à gauche,"[""Aucune taille ou dimension lisible sur l'image."", ""Logos et coordonnées commerciales ignorés.""]"
PHOTO-2026-06-08-15-47-11 2.json,input_images\PHOTO-2026-06-08-15-47-11 2.jpg,1,1,4024,B 4024,B 4024,45 cm,45 cm,680.0,680 dh,0.96,170.0,Oui,Étiquette blanche en bas à gauche : 'B 4024 45 cm 680 dh',[]
PHOTO-2026-06-08-15-47-11 2.json,input_images\PHOTO-2026-06-08-15-47-11 2.jpg,1,2,4024,,,45 cm,,680.0,,,,Non,,"[""Aucun produit GPT-5 aligné avec cette ligne CSV.""]"
PHOTO-2026-06-08-15-47-11 3.json,input_images\PHOTO-2026-06-08-15-47-11 3.jpg,1,1,4026,B 4026,B 4026,,,14.5,1450 dh,0.97,30.0,Oui,Étiquette blanche en bas à gauche : « B 4026 » au-dessus de « 1450 dh ».,[]
PHOTO-2026-06-08-15-47-11 3.json,input_images\PHOTO-2026-06-08-15-47-11 3.jpg,1,2,4026,,,,,14.5,,,,Non,,"[""Aucun produit GPT-5 aligné avec cette ligne CSV.""]"
PHOTO-2026-06-08-15-47-11 3.json,input_images\PHOTO-2026-06-08-15-47-11 3.jpg,1,3,4026,,,,,14.5,,,,Non,,"[""Aucun produit GPT-5 aligné avec cette ligne CSV.""]"
PHOTO-2026-06-08-15-47-11 3.json,input_images\PHOTO-2026-06-08-15-47-11 3.jpg,1,4,4026,,,,,14.5,,,,Non,,"[""Aucun produit GPT-5 aligné avec cette ligne CSV.""]"
PHOTO-2026-06-08-15-47-11 3.json,input_images\PHOTO-2026-06-08-15-47-11 3.jpg,1,5,4026,,,,,14.5,,,,Non,,"[""Aucun produit GPT-5 aligné avec cette ligne CSV.""]"
PHOTO-2026-06-08-15-47-11 3.json,input_images\PHOTO-2026-06-08-15-47-11 3.jpg,1,6,4026,,,,,14.5,,,,Non,,"[""Aucun produit GPT-5 aligné avec cette ligne CSV.""]"
PHOTO-2026-06-08-15-47-11.json,input_images\PHOTO-2026-06-08-15-47-11.jpg,1,1,,B 4004,B 4004,,,1450.0,1450 dh,0.98,100.0,Oui,encadré en haut à droite : 'B 4004 1450 dh',[]
PHOTO-2026-06-08-15-49-00 4.json,input_images\PHOTO-2026-06-08-15-49-00 4.jpg,1,1,,11813/1 bk,11813/1 bk,,,,395 dh,0.99,100.0,Oui,"Texte en haut à droite : ""11813/1 bk"" et ""395 dh""",[]
PHOTO-2026-06-08-15-49-01 3.json,input_images\PHOTO-2026-06-08-15-49-01 3.jpg,1,1,,0231 bej,0231 bej,,,285.0,285 dh,0.96,100.0,Oui,Texte en haut à droite '0231 bej',[]
PHOTO-2026-06-08-15-49-01 4.json,input_images\PHOTO-2026-06-08-15-49-01 4.jpg,1,2,,81602,81602,,,,550 dh,0.98,100.0,Oui,Encadré rouge en haut à droite,[]
PHOTO-2026-06-08-15-49-01.json,input_images\PHOTO-2026-06-08-15-49-01.jpg,1,1,,d 9901,d 9901,,,4.8,480 dh,0.98,100.0,Oui,Encadré jaune en haut à droite,"[""Aucune taille/dimension lisible dans l'image.""]"
PHOTO-2026-06-08-15-49-02 2.json,input_images\PHOTO-2026-06-08-15-49-02 2.jpg,1,1,145,0145 BK,0145 BK,,,285.0,285 dh,0.98,100.0,Oui,Texte en haut à droite « 0145 BK »,"[""Aucune taille lisible dans l'image.""]"
PHOTO-2026-06-08-15-49-04 2.json,input_images\PHOTO-2026-06-08-15-49-04 2.jpg,1,1,,9010,9010,,,,450 dh,0.95,100.0,Oui,Texte rouge en haut à droite,"[""Aucune taille lisible sur l'image""]"
PHOTO-2026-06-08-15-49-04 3.json,input_images\PHOTO-2026-06-08-15-49-04 3.jpg,1,1,8078/80,P 8078/80,P 8078/80,,80,1200.0,1200 dh,0.99,100.0,Oui,Texte blanc en haut à droite : « P 8078/80 » et « 1200 dh ».,[]
PHOTO-2026-06-08-15-49-04 4.json,input_images\PHOTO-2026-06-08-15-49-04 4.jpg,1,1,,,,,380,9.5,950 dh,0.05,20.0,Non,Encadré jaune en haut à droite : '380' au-dessus de '950 dh'; aucune référence visible.,"[""Aucune référence commerciale lisible ; seule la taille et le prix sont visibles.""]"
PHOTO-2026-06-08-15-49-04 4.json,input_images\PHOTO-2026-06-08-15-49-04 4.jpg,1,2,,,,,,3.8,,,,Non,,"[""Aucune référence commerciale lisible ; seule la taille et le prix sont visibles."", ""Aucun produit GPT-5 aligné avec cette ligne CSV.""]"
PHOTO-2026-06-08-15-49-04 4.json,input_images\PHOTO-2026-06-08-15-49-04 4.jpg,1,3,,,,,,9.5,,,,Non,,"[""Aucune référence commerciale lisible ; seule la taille et le prix sont visibles."", ""Aucun produit GPT-5 aligné avec cette ligne CSV.""]"
PHOTO-2026-06-08-15-49-04 4.json,input_images\PHOTO-2026-06-08-15-49-04 4.jpg,1,4,,,,,,3.8,,,,Non,,"[""Aucune référence commerciale lisible ; seule la taille et le prix sont visibles."", ""Aucun produit GPT-5 aligné avec cette ligne CSV.""]"
PHOTO-2026-06-08-15-49-04.json,input_images\PHOTO-2026-06-08-15-49-04.jpg,1,1,,0231,0231,,,285.0,285 dh,0.97,100.0,Oui,En haut à droite : « 0231 » et « 285 dh »,[]
PHOTO-2026-06-08-15-49-05 3.json,input_images\PHOTO-2026-06-08-15-49-05 3.jpg,1,1,,D 9710/3,D 9710/3,,,,220 dh,0.98,100.0,Oui,Texte noir en haut à droite : « D 9710/3 » (prix juste dessous « 220 dh »).,[]
PHOTO-2026-06-08-15-49-05.json,input_images\PHOTO-2026-06-08-15-49-05.jpg,1,1,,12209,12209,,,,650 dh,0.98,100.0,Oui,Texte noir en haut à gauche : '12209' au-dessus de '650 dh',"[""Aucune taille visible associée à la référence.""]"
PHOTO-2026-06-08-15-49-06.json,input_images\PHOTO-2026-06-08-15-49-06.jpg,1,1,994,B 994,B 994,,,1200.0,1200 dh,0.98,110.0,Oui,Texte en haut à gauche : « B 994 »,[]
PHOTO-2026-06-08-15-49-06.json,input_images\PHOTO-2026-06-08-15-49-06.jpg,1,2,,,,,,,,,,Non,,"[""Aucun produit GPT-5 aligné avec cette ligne CSV.""]"
PHOTO-2026-06-08-15-49-07 2.json,input_images\PHOTO-2026-06-08-15-49-07 2.jpg,1,2,,3013,3013,,,450.0,450 dh,0.98,100.0,Oui,Étiquette jaune en haut à droite : '3013 450 dh',[]
PHOTO-2026-06-08-15-49-07.json,input_images\PHOTO-2026-06-08-15-49-07.jpg,1,1,8078,P 8078/50,P 8078/50,,,650.0,650 dh,0.98,100.0,Oui,Texte en haut à droite : « P 8078/50 »,[]
PHOTO-2026-06-08-15-49-08 2.json,input_images\PHOTO-2026-06-08-15-49-08 2.jpg,1,1,1011/6,1011/6,1011/6,,,1100.0,1100 dh,0.98,125.0,Oui,Texte en haut à droite : '1011/6',[]
PHOTO-2026-06-08-15-49-08 2.json,input_images\PHOTO-2026-06-08-15-49-08 2.jpg,1,2,1100/6,,,,,1100.0,,,,Non,,"[""Aucun produit GPT-5 aligné avec cette ligne CSV.""]"
PHOTO-2026-06-08-15-49-08.json,input_images\PHOTO-2026-06-08-15-49-08.jpg,1,1,,,,,380,950.0,950 dh,0.05,100.0,Non,Aucune référence visible; bloc jaune en haut à droite: '380' au-dessus de '950 dh'.,"[""Aucune référence commerciale lisible sur l'image; seule une taille ('380') et un prix ('950 dh') sont visibles.""]"
PHOTO-2026-06-08-15-49-08.json,input_images\PHOTO-2026-06-08-15-49-08.jpg,1,2,,,,,,380.0,,,,Non,,"[""Aucune référence commerciale lisible sur l'image; seule une taille ('380') et un prix ('950 dh') sont visibles."", ""Aucun produit GPT-5 aligné avec cette ligne CSV.""]"
PHOTO-2026-06-08-15-49-09.json,input_images\PHOTO-2026-06-08-15-49-09.jpg,1,2,,12063/3 LED,12063/3 LED,,,,480 dh,0.99,100.0,Oui,Texte en bas à droite: '12063/3 LED',[]
PHOTO-2026-06-08-15-49-10.json,input_images\PHOTO-2026-06-08-15-49-10.jpg,1,,,D9688,D9688,,,,245 dh,0.98,100.0,Oui,Texte en haut à droite : « D9688 245 dh »,[]
PHOTO-2026-06-08-15-49-11 3.json,input_images\PHOTO-2026-06-08-15-49-11 3.jpg,1,1,,D 9795/10,D 9795/10,,,580.0,580 dh,0.98,100.0,Oui,Texte en haut à droite : 'D 9795/10',[]
PHOTO-2026-06-08-15-49-11 4.json,input_images\PHOTO-2026-06-08-15-49-11 4.jpg,1,,,1701,1701,,,,450 dh,0.98,100.0,Oui,Texte rouge en bas de l'image : « 1701 » juste au-dessus de « 450 dh ».,"[""Aucune taille visible sur l'image."", ""La monnaie « dh » n'est pas explicitée (probablement dirhams).""]"
PHOTO-2026-06-08-15-49-11.json,input_images\PHOTO-2026-06-08-15-49-11.jpg,1,2,,5005,5005,,,,550 dh,0.98,100.0,Oui,Bloc rouge en haut à gauche affichant '5005' et '550 dh',[]
PHOTO-2026-06-08-15-49-12 2.json,input_images\PHOTO-2026-06-08-15-49-12 2.jpg,1,1,,D 9901,D 9901,,,,480 dh,0.99,100.0,Oui,"Étiquette jaune en haut à droite : ""D 9901"" au-dessus de ""480 dh""",[]
PHOTO-2026-06-08-15-49-12 4.json,input_images\PHOTO-2026-06-08-15-49-12 4.jpg,1,1,,,,,,450.0,450 dh,0.05,100.0,Non,"Aucune référence lisible ; seul texte de prix ""450 dh"" en rouge en haut à droite.","[""Aucune référence commerciale visible sur l'image."", ""Le nombre \""1750\"" apparaît sans unité ; ignoré comme prix potentiel.""]"
PHOTO-2026-06-08-15-49-12.json,input_images\PHOTO-2026-06-08-15-49-12.jpg,1,2,,,,,,1752.0,1752,0.05,100.0,Non,aucune référence visible; nombre rouge «1752» sous «480 dh»,"[""Aucune référence commerciale lisible sur l’image. Uniquement des prix visibles («480 dh», «1752»).""]"
PHOTO-2026-06-08-15-49-12.json,input_images\PHOTO-2026-06-08-15-49-12.jpg,1,1,,,,,,480.0,480 dh,0.05,100.0,Non,aucune référence visible; prix rouge «480 dh» en bas gauche,"[""Aucune référence commerciale lisible sur l’image. Uniquement des prix visibles («480 dh», «1752»).""]"
