name,slug,reference,marque,rubrique,categorie,famille,description,url_image1,url_image2,url_image3,url_image4,url_image5,price,colors,stock,weight,badge,is_active,is_featured,is_new,is_bestseller,rating,reviews_count,category_slug,subcategory_slug,care_instructions,origin_country,collection_name,seo_title,seo_description,price_wholesale,wholesale_min_qty,is_available_on_site,has_color_variants,width_cm,depth_cm,height_cm
Lustre suspendu en cristal coloré,lustre-suspendu-en-cristal-colore-7301-80,7301/80,,Luminaires > Luminaires suspendus > Lustres,Luminaires,Lustre,"Ce chandelier suspendu élégant se compose d'une structure en métal doré avec de multiples branches ornées de longs cristaux colorés en verre. Son design moderne et sophistiqué diffuse une lumière chaleureuse, rendant votre espace de vie ou salle à manger plus accueillant et lumineux. Parfait pour les salons, salles à manger ou espaces de réception, il apporte une touche de luxe et de couleur à votre intérieur marocain contemporain.",,,,,,1700.00,"[""Orange"", ""Bleu"", ""Jaune"", ""Rose"", ""Turquoise"", ""Violet""]",10000,,,true,false,false,false,0,0,luminaires,suspensions,,,,Lustre suspendu en cristal coloré,"Ce chandelier suspendu élégant se compose d'une structure en métal doré avec de multiples branches ornées de longs cristaux colorés en verre. Son design moderne et sophistiqué diffuse une lumière chaleureuse, rendant votre espace de vie ou salle à manger plus accueillant et lumineux. Parfait pour le",0,1,true,false,,,
Lustre suspendu en cristal coloré,lustre-suspendu-en-cristal-colore-7301-100,7301/100,,Luminaires > Luminaires suspendus > Lustres,Luminaires,Lustre,"Ce chandelier suspendu élégant se compose d'une structure en métal doré avec de multiples branches ornées de longs cristaux colorés en verre. Son design moderne et sophistiqué diffuse une lumière chaleureuse, rendant votre espace de vie ou salle à manger plus accueillant et lumineux. Parfait pour les salons, salles à manger ou espaces de réception, il apporte une touche de luxe et de couleur à votre intérieur marocain contemporain.",,,,,,2300.00,"[""Orange"", ""Bleu"", ""Jaune"", ""Rose"", ""Turquoise"", ""Violet""]",10000,,,true,false,false,false,0,0,luminaires,suspensions,,,,Lustre suspendu en cristal coloré,"Ce chandelier suspendu élégant se compose d'une structure en métal doré avec de multiples branches ornées de longs cristaux colorés en verre. Son design moderne et sophistiqué diffuse une lumière chaleureuse, rendant votre espace de vie ou salle à manger plus accueillant et lumineux. Parfait pour le",0,1,true,false,,,
Lustre suspendu en cristal coloré,lustre-suspendu-en-cristal-colore-7301-120l,7301/120L,,Luminaires > Luminaires suspendus > Lustres,Luminaires,Lustre,"Ce chandelier suspendu élégant se compose d'une structure en métal doré avec de multiples branches ornées de longs cristaux colorés en verre. Son design moderne et sophistiqué diffuse une lumière chaleureuse, rendant votre espace de vie ou salle à manger plus accueillant et lumineux. Parfait pour les salons, salles à manger ou espaces de réception, il apporte une touche de luxe et de couleur à votre intérieur marocain contemporain.",,,,,,1700.00,"[""Orange"", ""Bleu"", ""Jaune"", ""Rose"", ""Turquoise"", ""Violet""]",10000,,,true,false,false,false,0,0,luminaires,suspensions,,,,Lustre suspendu en cristal coloré,"Ce chandelier suspendu élégant se compose d'une structure en métal doré avec de multiples branches ornées de longs cristaux colorés en verre. Son design moderne et sophistiqué diffuse une lumière chaleureuse, rendant votre espace de vie ou salle à manger plus accueillant et lumineux. Parfait pour le",0,1,true,false,,,
Lampe suspendue en verre coloré,lampe-suspendue-en-verre-colore-7301,7301,,Luminaires > Luminaires suspendus > Lustres,Vases,,"Ce lustre suspendu se caractérise par une structure en métal doré orné de nombreuses pampilles en verre coloré dans des nuances de bleu, jaune, orange, rouge, et transparent. Son design élégant et lumineux apportera une touche sophistiquée et chaleureuse à une pièce de vie, une salle à manger ou un hall d'entrée. La diffusion de la lumière à travers ses pampilles en verre crée une ambiance accueillante et décorative, idéale pour un intérieur moderne ou classique revisité.",/uploads/products/7301-001.png,/uploads/products/7301-002.png,/uploads/products/7301-003.png,/uploads/products/7301-004.png,/uploads/products/7301-005.png,8500.00,"[""Bleu"", ""Jaune"", ""Orange"", ""Rouge"", ""Transparent""]",10000,,,true,false,false,false,0,0,luminaires,suspensions,,,,Lampe suspendue en verre coloré,"Ce lustre suspendu se caractérise par une structure en métal doré orné de nombreuses pampilles en verre coloré dans des nuances de bleu, jaune, orange, rouge, et transparent. Son design élégant et lumineux apportera une touche sophistiquée et chaleureuse à une pièce de vie, une salle à manger ou un ",0,1,true,false,80,,180
Lustre suspendu en cristal contemporain,lustre-suspendu-en-cristal-contemporain-2241,2241,,Luminaires > Luminaires suspendus > Lustres,Luminaires,,"Ce lustre suspendu en cristal offre un design contemporain avec ses longues tiges en verre coloré et sa structure dorée. Il diffuse une lumière élégante et sophistiquée, idéale pour illuminer et décorer un salon ou une salle à manger. Son style moderne et raffiné apporte une touche de luxe et de modernité à tout intérieur marocain. Parfait pour créer une ambiance chaleureuse et accueillante dans les espaces de vie ou de réception.",/uploads/products/2241-001.jpg,/uploads/products/2241-002.jpg,/uploads/products/2241-003.jpg,/uploads/products/2241-004.png,,6500.00,"[""Bleu"", ""Jaune"", ""Transparent""]",10000,,,true,false,false,false,0,0,luminaires,suspensions,,,,Lustre suspendu en cristal contemporain,"Ce lustre suspendu en cristal offre un design contemporain avec ses longues tiges en verre coloré et sa structure dorée. Il diffuse une lumière élégante et sophistiquée, idéale pour illuminer et décorer un salon ou une salle à manger. Son style moderne et raffiné apporte une touche de luxe et de mod",0,1,true,false,60,,180
Lustre en cristal doré à multiple chaînes,lustre-en-cristal-dore-a-multiple-chaines-8338-45,8338/45,,Luminaires > Luminaires suspendus > Lustres,Luminaires,,"Ce lustre suspendu habille élégamment un espace intérieur avec son design en cristal étincelant. Son cadre doré supporte une multitude de cristaux taillés qui diffusent une lumière douce et raffinée. Parfait pour embellir un salon, une salle à manger ou une entrée, il apporte une touche de luxe et de brillance à votre décoration. Son style classique avec une touche moderne s’intègre harmonieusement dans une décoration intérieure sophistiquée et contemporaine, créant une ambiance chaleureuse et élégante.",,,,,,790.00,"[""Transparent"", ""Doré""]",10000,,,true,false,false,false,0,0,luminaires,suspensions,,,,Lustre en cristal doré à multiple chaînes,"Ce lustre suspendu habille élégamment un espace intérieur avec son design en cristal étincelant. Son cadre doré supporte une multitude de cristaux taillés qui diffusent une lumière douce et raffinée. Parfait pour embellir un salon, une salle à manger ou une entrée, il apporte une touche de luxe et d",0,1,true,false,,,
Lustre en cristal doré à multi-chaînes,lustre-en-cristal-dore-a-multi-chaines-8338-55,8338/55,,Luminaires > Luminaires suspendus > Lustres,Luminaires,,"Ce lustre suspendu habille élégamment un espace intérieur avec son design en cristal étincelant. Son cadre doré supporte une multitude de cristaux taillés qui diffusent une lumière douce et raffinée. Parfait pour embellir un salon, une salle à manger ou une entrée, il apporte une touche de luxe et de brillance à votre décoration. Son style classique avec une touche moderne s’intègre harmonieusement dans une décoration intérieure sophistiquée et contemporaine, créant une ambiance chaleureuse et élégante.",,,,,,1100.00,"[""Transparent"", ""Doré""]",10000,,,true,false,false,false,0,0,luminaires,suspensions,,,,Lustre en cristal doré à multi-chaînes,"Ce lustre suspendu habille élégamment un espace intérieur avec son design en cristal étincelant. Son cadre doré supporte une multitude de cristaux taillés qui diffusent une lumière douce et raffinée. Parfait pour embellir un salon, une salle à manger ou une entrée, il apporte une touche de luxe et d",0,1,true,false,,,
Lustre en cristal doré à longues chaînes,lustre-en-cristal-dore-a-longues-chaines-8338-80-30,8338/80×30,,Luminaires > Luminaires suspendus > Lustres,Luminaires,,"Ce lustre suspendu habille élégamment un espace intérieur avec son design en cristal étincelant. Son cadre doré supporte une multitude de cristaux taillés qui diffusent une lumière douce et raffinée. Parfait pour embellir un salon, une salle à manger ou une entrée, il apporte une touche de luxe et de brillance à votre décoration. Son style classique avec une touche moderne s’intègre harmonieusement dans une décoration intérieure sophistiquée et contemporaine, créant une ambiance chaleureuse et élégante.",,,,,,1200.00,"[""Transparent"", ""Doré""]",10000,,,true,false,false,false,0,0,luminaires,suspensions,,,,Lustre en cristal doré à longues chaînes,"Ce lustre suspendu habille élégamment un espace intérieur avec son design en cristal étincelant. Son cadre doré supporte une multitude de cristaux taillés qui diffusent une lumière douce et raffinée. Parfait pour embellir un salon, une salle à manger ou une entrée, il apporte une touche de luxe et d",0,1,true,false,,,
Lustre design contemporain,lustre-design-contemporain-7302,7302,,Luminaires,Luminaires,Lustres,"Ce lustre suspendu au design contemporain est une pièce unique alliant élégance et modernité, idéal pour éclairer avec style le salon, la salle à manger ou un espace de réception. Composé de branches sculpturales en finition dorée, il supporte de multiples ampoules qui diffusent une lumière chaleureuse et accueillante. Sa structure originale en métal et ses éléments en verre coloré apportent une touche d'art et de décoration à votre intérieur. Parfait pour une ambiance raffinée, ce luminaire mettra en valeur les espaces résidentiels ou commerciaux modernes, tout en offrant une lumière diffuse harmonieuse.",/uploads/products/7302-001.png,/uploads/products/7302-002.png,/uploads/products/7302-003.png,/uploads/products/7302-004.png,/uploads/products/7302-005.jpg,8500.00,"[""Jaune"", ""Noir"", ""Bleu"", ""Rouge"", ""Transparent""]",10000,,,true,false,false,false,0,0,luminaires,suspensions,,,,Lustre design contemporain,"Ce lustre suspendu au design contemporain est une pièce unique alliant élégance et modernité, idéal pour éclairer avec style le salon, la salle à manger ou un espace de réception. Composé de branches sculpturales en finition dorée, il supporte de multiples ampoules qui diffusent une lumière chaleure",0,1,true,false,80,,180
Lustre en cristal à design moderne,lustre-en-cristal-a-design-moderne-9028-40,9028/40,,Luminaires > Luminaires suspendus > Lustres,Luminaires,Lustre,"Ce lustre en cristal doté de multiples pendentifs en verre transparent diffuse une lumière chaleureuse et élégante. Son design contemporain avec une structure en finition dorée apportera une touche sophistiquée et raffinée à votre salon, salle à manger ou entrée. Son effet brillant et sa configuration en couches créent une ambiance lumineuse et décorative idéale pour un intérieur moderne ou classique. Son installation dans une pièce spacieuse permettra d'accentuer l’aspect luxueux et la beauté du cristal, en faisant un véritable point focal qui combine fonctionnalité et décoration.",/uploads/products/9028-40-001.jpg,/uploads/products/9028-40-002.jpg,/uploads/products/9028-40-003.jpg,/uploads/products/9028-40-004.png,,580.00,"[""Doré"", ""Transparent""]",10000,,,true,false,false,false,0,0,luminaires,suspensions,,,,Lustre en cristal à design moderne,"Ce lustre en cristal doté de multiples pendentifs en verre transparent diffuse une lumière chaleureuse et élégante. Son design contemporain avec une structure en finition dorée apportera une touche sophistiquée et raffinée à votre salon, salle à manger ou entrée. Son effet brillant et sa configurati",0,1,true,false,,,
Lustre en cristaux doré,lustre-en-cristaux-dore-81025-6,81025/6,,Luminaires > Luminaires suspendus > Lustres,Luminaires,Lustres en cristaux,"Ce lustre suspendu ornemente votre espace avec son design élégant et ses cristaux étincelants. Sa structure en métal doré, combinée à ses chaînes de cristaux transparents et ses détails en verre, crée une pièce sophistiquée idéale pour un salon, une salle à manger ou une entrée de style marocain contemporain. Il diffuse une lumière chaleureuse et raffinée, amplifiée par les jeux de reflets des cristaux, apportant une ambiance luxueuse et accueillante à votre intérieur.",,,,,,3950.00,"[""Doré"", ""Transparent""]",10000,,,true,false,false,false,0,0,luminaires,suspensions,,,,Lustre en cristaux doré,"Ce lustre suspendu ornemente votre espace avec son design élégant et ses cristaux étincelants. Sa structure en métal doré, combinée à ses chaînes de cristaux transparents et ses détails en verre, crée une pièce sophistiquée idéale pour un salon, une salle à manger ou une entrée de style marocain con",0,1,true,false,,,
Lustre en cristaux doré,lustre-en-cristaux-dore-81025-80,81025/80,,Luminaires > Luminaires suspendus > Lustres,Luminaires,Lustres en cristaux,"Ce lustre suspendu ornemente votre espace avec son design élégant et ses cristaux étincelants. Sa structure en métal doré, combinée à ses chaînes de cristaux transparents et ses détails en verre, crée une pièce sophistiquée idéale pour un salon, une salle à manger ou une entrée de style marocain contemporain. Il diffuse une lumière chaleureuse et raffinée, amplifiée par les jeux de reflets des cristaux, apportant une ambiance luxueuse et accueillante à votre intérieur.",,,,,,5800.00,"[""Doré"", ""Transparent""]",10000,,,true,false,false,false,0,0,luminaires,suspensions,,,,Lustre en cristaux doré,"Ce lustre suspendu ornemente votre espace avec son design élégant et ses cristaux étincelants. Sa structure en métal doré, combinée à ses chaînes de cristaux transparents et ses détails en verre, crée une pièce sophistiquée idéale pour un salon, une salle à manger ou une entrée de style marocain con",0,1,true,false,,,
Lustre décoratif en cristal et métal doré,lustre-decoratif-en-cristal-et-metal-dore-95407,95407,,Décoration,Arts décoratifs,Lustres et suspensions,"Ce lustre élégant combine des éléments en cristal transparent avec une structure en métal doré, créant une pièce sophistiquée idéale pour valoriser un espace de réception ou une salle à manger. Sa conception moderne et raffinée diffuse une lumière chaleureuse, apportant une ambiance luxueuse et conviviale. Parfait pour des intérieurs marocains contemporains ou classiques, il devient un point focal qui sublime la décoration intérieure.",/uploads/products/95407-001.png,/uploads/products/95407-002.png,/uploads/products/95407-003.png,/uploads/products/95407-004.png,,1580.00,"[""Transparent"", ""Doré""]",10000,,,true,false,false,false,0,0,luminaires,suspensions,,,,Lustre décoratif en cristal et métal doré,"Ce lustre élégant combine des éléments en cristal transparent avec une structure en métal doré, créant une pièce sophistiquée idéale pour valoriser un espace de réception ou une salle à manger. Sa conception moderne et raffinée diffuse une lumière chaleureuse, apportant une ambiance luxueuse et conv",0,1,true,false,,,
Lustre suspendu en cristal doré 40cm,lustre-suspendu-en-cristal-dore-40cm-7001-40,7001/40,,Luminaires > Luminaires suspendus > Lustres,Luminaires,Lustres,"Ce lustre suspendu au design sophistiqué combine des éléments en cristal clair avec une finition dorée, apportant une élégance raffinée à tout espace intérieur. Ses multiples sources lumineuses diffusent une lumière chaleureuse et élégante, idéale pour le salon, la salle à manger ou une entrée somptueuse. Avec sa structure métallique dorée ornée de détails en cristal, il devient un élément décoratif central qui rehausse l'ambiance et le style de votre intérieur marocain contemporain ou classique.",,,,,,480.00,"[""Doré"", ""Cristal""]",10000,,,true,false,false,false,0,0,luminaires,suspensions,,,,Lustre suspendu en cristal doré 40cm,"Ce lustre suspendu au design sophistiqué combine des éléments en cristal clair avec une finition dorée, apportant une élégance raffinée à tout espace intérieur. Ses multiples sources lumineuses diffusent une lumière chaleureuse et élégante, idéale pour le salon, la salle à manger ou une entrée sompt",0,1,true,false,,,
Lustre suspendu en cristal doré 60cm,lustre-suspendu-en-cristal-dore-60cm-7001-60,7001/60,,Luminaires > Luminaires suspendus > Lustres,Luminaires,Lustres,"Ce lustre suspendu au design sophistiqué combine des éléments en cristal clair avec une finition dorée, apportant une élégance raffinée à tout espace intérieur. Ses multiples sources lumineuses diffusent une lumière chaleureuse et élégante, idéale pour le salon, la salle à manger ou une entrée somptueuse. Avec sa structure métallique dorée ornée de détails en cristal, il devient un élément décoratif central qui rehausse l'ambiance et le style de votre intérieur marocain contemporain ou classique.",,,,,,650.00,"[""Doré"", ""Cristal""]",10000,,,true,false,false,false,0,0,luminaires,suspensions,,,,Lustre suspendu en cristal doré 60cm,"Ce lustre suspendu au design sophistiqué combine des éléments en cristal clair avec une finition dorée, apportant une élégance raffinée à tout espace intérieur. Ses multiples sources lumineuses diffusent une lumière chaleureuse et élégante, idéale pour le salon, la salle à manger ou une entrée sompt",0,1,true,false,,,
Lustre suspendu en cristal doré 80cm,lustre-suspendu-en-cristal-dore-80cm-7001-80,7001/80,,Luminaires > Luminaires suspendus > Lustres,Luminaires,Lustres,"Ce lustre suspendu au design sophistiqué combine des éléments en cristal clair avec une finition dorée, apportant une élégance raffinée à tout espace intérieur. Ses multiples sources lumineuses diffusent une lumière chaleureuse et élégante, idéale pour le salon, la salle à manger ou une entrée somptueuse. Avec sa structure métallique dorée ornée de détails en cristal, il devient un élément décoratif central qui rehausse l'ambiance et le style de votre intérieur marocain contemporain ou classique.",,,,,,1050.00,"[""Doré"", ""Cristal""]",10000,,,true,false,false,false,0,0,luminaires,suspensions,,,,Lustre suspendu en cristal doré 80cm,"Ce lustre suspendu au design sophistiqué combine des éléments en cristal clair avec une finition dorée, apportant une élégance raffinée à tout espace intérieur. Ses multiples sources lumineuses diffusent une lumière chaleureuse et élégante, idéale pour le salon, la salle à manger ou une entrée sompt",0,1,true,false,,,
Lustre suspendu en cristal doré 100cm,lustre-suspendu-en-cristal-dore-100cm-7001-100,7001/100,,Luminaires > Luminaires suspendus > Lustres,Luminaires,Lustres,"Ce lustre suspendu au design sophistiqué combine des éléments en cristal clair avec une finition dorée, apportant une élégance raffinée à tout espace intérieur. Ses multiples sources lumineuses diffusent une lumière chaleureuse et élégante, idéale pour le salon, la salle à manger ou une entrée somptueuse. Avec sa structure métallique dorée ornée de détails en cristal, il devient un élément décoratif central qui rehausse l'ambiance et le style de votre intérieur marocain contemporain ou classique.",,,,,,1450.00,"[""Doré"", ""Cristal""]",10000,,,true,false,false,false,0,0,luminaires,suspensions,,,,Lustre suspendu en cristal doré 100cm,"Ce lustre suspendu au design sophistiqué combine des éléments en cristal clair avec une finition dorée, apportant une élégance raffinée à tout espace intérieur. Ses multiples sources lumineuses diffusent une lumière chaleureuse et élégante, idéale pour le salon, la salle à manger ou une entrée sompt",0,1,true,false,,,
