type,reference,source_json,details
excluded_missing_reference,,PHOTO-2026-06-08-16-23-08 2.json,ligne 474
excluded_missing_reference,,PHOTO-2026-06-08-16-25-47 2.json,ligne 496
excluded_missing_reference,,PHOTO-2026-06-08-16-25-47 2.json,ligne 497
excluded_missing_reference,,PHOTO-2026-06-08-16-25-47 3.json,ligne 499
excluded_missing_reference,,PHOTO-2026-06-08-16-25-48 2.json,ligne 503
excluded_missing_reference,,PHOTO-2026-06-08-16-25-48 2.json,ligne 504
excluded_missing_reference,,PHOTO-2026-06-08-16-25-48 3.json,ligne 506
excluded_missing_reference,,PHOTO-2026-06-08-16-25-48 3.json,ligne 507
excluded_missing_reference,,PHOTO-2026-06-08-16-25-49 2.json,ligne 515
excluded_missing_reference,,PHOTO-2026-06-08-16-25-49 2.json,ligne 516
excluded_missing_reference,,PHOTO-2026-06-08-16-25-49 3.json,ligne 518
excluded_missing_reference,,PHOTO-2026-06-08-16-25-49 3.json,ligne 519
excluded_missing_reference,,PHOTO-2026-06-08-16-25-50.json,ligne 526
excluded_missing_reference,,PHOTO-2026-06-08-16-25-51 5.json,ligne 531
excluded_missing_reference,,PHOTO-2026-06-08-16-32-55 4.json,ligne 577
excluded_missing_reference,,PHOTO-2026-06-08-16-32-56 4.json,ligne 585
excluded_missing_reference,,PHOTO-2026-06-08-16-32-57 2.json,ligne 589
excluded_missing_reference,,PHOTO-2026-06-08-16-32-57 2.json,ligne 590
excluded_missing_reference,,PHOTO-2026-06-08-16-32-57 4.json,ligne 593
excluded_missing_reference,,PHOTO-2026-06-08-16-32-58 2.json,ligne 598
excluded_missing_reference,,PHOTO-2026-06-08-16-32-58 2.json,ligne 599
excluded_missing_reference,,PHOTO-2026-06-08-16-32-59 5.json,ligne 609
excluded_missing_reference,,PHOTO-2026-06-08-16-33-04 2.json,ligne 632
excluded_missing_reference,,PHOTO-2026-06-08-16-33-06.json,ligne 647
excluded_missing_reference,,PHOTO-2026-06-08-16-33-06.json,ligne 648
excluded_missing_reference,,PHOTO-2026-06-08-16-33-09 4.json,ligne 659
excluded_missing_reference,,PHOTO-2026-06-08-16-33-13 7.json,ligne 680
excluded_missing_reference,,PHOTO-2026-06-08-16-33-13 7.json,ligne 681
excluded_missing_reference,,PHOTO-2026-06-08-16-40-36 4.json,ligne 703
excluded_missing_reference,,PHOTO-2026-06-08-16-40-37 4.json,ligne 709
excluded_missing_reference,,PHOTO-2026-06-08-16-40-38.json,ligne 716
excluded_missing_reference,,PHOTO-2026-06-08-16-40-46 2.json,ligne 753
excluded_missing_reference,,PHOTO-2026-06-08-16-40-46 7.json,ligne 760
excluded_missing_reference,,PHOTO-2026-06-08-16-40-49 3.json,ligne 781
excluded_missing_reference,,PHOTO-2026-06-08-16-40-49 3.json,ligne 782
excluded_missing_reference,,PHOTO-2026-06-08-16-40-50 2.json,ligne 787
excluded_missing_reference,,PHOTO-2026-06-08-16-40-50 2.json,ligne 788
excluded_missing_reference,,PHOTO-2026-06-08-16-40-51 2.json,ligne 791
excluded_missing_reference,,PHOTO-2026-06-08-16-40-51.json,ligne 800
excluded_missing_reference,,PHOTO-2026-06-08-16-40-51.json,ligne 801
excluded_missing_reference,,PHOTO-2026-06-08-16-40-51.json,ligne 802
excluded_missing_reference,,PHOTO-2026-06-08-16-41-18 2.json,ligne 831
excluded_missing_reference,,PHOTO-2026-06-08-16-41-19 2.json,ligne 835
excluded_missing_reference,,PHOTO-2026-06-08-16-41-19 3.json,ligne 836
excluded_missing_reference,,PHOTO-2026-06-08-16-46-51 3.json,ligne 849
excluded_missing_reference,,PHOTO-2026-06-08-16-46-52.json,ligne 856
excluded_missing_reference,,PHOTO-2026-06-08-16-46-52.json,ligne 857
excluded_missing_reference,,PHOTO-2026-06-08-16-46-59 2.json,ligne 892
excluded_missing_reference,,PHOTO-2026-06-08-16-46-59 4.json,ligne 900
excluded_missing_reference,,PHOTO-2026-06-08-16-46-59 4.json,ligne 901
excluded_missing_reference,,PHOTO-2026-06-08-16-46-59 4.json,ligne 902
excluded_missing_reference,,PHOTO-2026-06-08-16-46-59.json,ligne 906
excluded_missing_reference,,PHOTO-2026-06-08-16-47-00 4.json,ligne 911
excluded_missing_reference,,PHOTO-2026-06-08-16-47-02 2.json,ligne 915
excluded_missing_reference,,PHOTO-2026-06-08-16-47-02 4.json,ligne 918
excluded_missing_reference,,PHOTO-2026-06-08-16-47-02 7.json,ligne 921
excluded_missing_reference,,PHOTO-2026-06-08-16-47-04 7.json,ligne 929
excluded_missing_reference,,PHOTO-2026-06-08-16-49-08 3.json,ligne 964
excluded_missing_reference,,PHOTO-2026-06-08-16-49-08 3.json,ligne 965
excluded_missing_reference,,PHOTO-2026-06-08-16-49-08 4.json,ligne 967
excluded_missing_reference,,PHOTO-2026-06-08-16-49-09 3.json,ligne 972
excluded_missing_reference,,PHOTO-2026-06-08-16-49-09 3.json,ligne 973
excluded_missing_reference,,PHOTO-2026-06-08-16-49-09 6.json,ligne 977
excluded_missing_reference,,PHOTO-2026-06-08-16-49-09 6.json,ligne 978
excluded_missing_reference,,PHOTO-2026-06-08-16-49-11 6.json,ligne 986
excluded_missing_reference,,PHOTO-2026-06-08-16-49-17 3.json,ligne 1010
excluded_missing_reference,,PHOTO-2026-06-08-16-49-17 3.json,ligne 1011
excluded_missing_reference,,PHOTO-2026-06-08-16-49-17 4.json,ligne 1013
excluded_missing_reference,,PHOTO-2026-06-08-16-49-17 4.json,ligne 1014
excluded_missing_reference,,PHOTO-2026-06-08-16-49-17 4.json,ligne 1015
excluded_missing_reference,,PHOTO-2026-06-08-16-49-24 4.json,ligne 1045
excluded_missing_reference,,PHOTO-2026-06-08-16-49-26 3.json,ligne 1059
excluded_missing_reference,,PHOTO-2026-06-08-16-49-26 3.json,ligne 1060
excluded_missing_reference,,PHOTO-2026-06-08-16-49-26 4.json,ligne 1062
excluded_missing_reference,,PHOTO-2026-06-08-16-49-26 6.json,ligne 1065
excluded_missing_reference,,PHOTO-2026-06-08-16-49-26 7.json,ligne 1067
excluded_missing_reference,,PHOTO-2026-06-08-16-49-26.json,ligne 1069
excluded_missing_reference,,PHOTO-2026-06-08-16-49-26.json,ligne 1070
excluded_missing_reference,,PHOTO-2026-06-08-16-49-26.json,ligne 1071
excluded_missing_reference,,PHOTO-2026-06-08-16-52-54.json,ligne 1094
excluded_missing_reference,,PHOTO-2026-06-08-16-52-58 3.json,ligne 1117
excluded_missing_reference,,PHOTO-2026-06-08-16-53-03 6.json,ligne 1143
excluded_missing_reference,,PHOTO-2026-06-08-16-53-05 3.json,ligne 1158
excluded_missing_reference,,PHOTO-2026-06-08-16-53-05 4.json,ligne 1161
excluded_missing_reference,,PHOTO-2026-06-08-16-55-31 6.json,ligne 1177
excluded_missing_reference,,PHOTO-2026-06-08-16-55-31.json,ligne 1179
excluded_missing_reference,,PHOTO-2026-06-08-16-55-35 2.json,ligne 1195
excluded_missing_reference,,PHOTO-2026-06-08-16-55-39 2.json,ligne 1204
excluded_missing_reference,,PHOTO-2026-06-08-16-55-39 5.json,ligne 1209
excluded_missing_reference,,PHOTO-2026-06-08-16-55-39.json,ligne 1211
excluded_missing_reference,,PHOTO-2026-06-08-16-55-40 3.json,ligne 1214
excluded_missing_reference,,PHOTO-2026-06-08-16-55-40 5.json,ligne 1216
excluded_missing_reference,,PHOTO-2026-06-08-16-55-40 6.json,ligne 1218
excluded_missing_reference,,PHOTO-2026-06-08-16-55-42 5.json,ligne 1235
excluded_missing_reference,,PHOTO-2026-06-08-16-55-43 6.json,ligne 1245
excluded_missing_reference,,PHOTO-2026-06-08-16-55-44 6.json,ligne 1253
excluded_missing_reference,,PHOTO-2026-06-08-16-55-44 7.json,ligne 1255
excluded_missing_reference,,PHOTO-2026-06-08-16-55-45 2.json,ligne 1259
excluded_missing_reference,,PHOTO-2026-06-08-16-55-45 2.json,ligne 1260
excluded_missing_reference,,PHOTO-2026-06-08-16-55-45 3.json,ligne 1262
excluded_missing_reference,,PHOTO-2026-06-08-16-55-45 3.json,ligne 1263
excluded_missing_reference,,PHOTO-2026-06-08-17-10-50.json,ligne 1290
excluded_missing_reference,,PHOTO-2026-06-08-17-10-52 4.json,ligne 1301
excluded_missing_reference,,PHOTO-2026-06-08-17-10-52 4.json,ligne 1302
excluded_missing_reference,,PHOTO-2026-06-08-17-10-52 4.json,ligne 1303
merged_duplicate_reference,5018,PHOTO-2026-06-08-15-42-16 2.json | PHOTO-2026-06-08-15-42-19 4.json,"3 lignes; prix=['1250.0', '5500.0']; images=8"
merged_duplicate_reference,7301,PHOTO-2026-06-08-15-42-16.json | PHOTO-2026-06-08-16-40-48 4.json,"3 lignes; prix=['15.0', '8500.0']; images=9"
merged_duplicate_reference,7302,PHOTO-2026-06-08-15-42-17 4.json | PHOTO-2026-06-08-15-42-17.json | PHOTO-2026-06-08-16-22-59 2.json,"8 lignes; prix=['1100.0', '15.0', '1700.0', '2300.0', '750.0', '8500.0']; images=12"
merged_duplicate_reference,9028/40,PHOTO-2026-06-08-15-42-18 2.json,"2 lignes; prix=['480.0', '580.0']; images=4"
merged_duplicate_reference,95407,PHOTO-2026-06-08-15-42-18 4.json,"3 lignes; prix=['1180.0', '1580.0', '950.0']; images=4"
merged_duplicate_reference,7036,PHOTO-2026-06-08-15-42-18 6.json,"4 lignes; prix=['1300.0', '1600.0', '1700.0', '580.0']; images=4"
merged_duplicate_reference,7006,PHOTO-2026-06-08-15-42-18.json,"3 lignes; prix=['1050.0', '1280.0', '1350.0']; images=4"
merged_duplicate_reference,5012,PHOTO-2026-06-08-15-42-19 2.json,"4 lignes; prix=['1350.0', '1800.0', '480.0', '850.0']; images=4"
merged_duplicate_reference,6089,PHOTO-2026-06-08-15-42-19 5.json,2 lignes; prix=['1250.0']; images=4
merged_duplicate_reference,6126,PHOTO-2026-06-08-15-42-19 6.json | PHOTO-2026-06-08-15-42-19 7.json,"3 lignes; prix=['1350.0', '850.0']; images=8"
merged_duplicate_reference,9841,PHOTO-2026-06-08-15-42-19.json,2 lignes; prix=['1450.0']; images=4
merged_duplicate_reference,Y097/5,PHOTO-2026-06-08-15-47-01 2.json | PHOTO-2026-06-08-15-47-02 6.json,2 lignes; prix=['580.0']; images=8
merged_duplicate_reference,Y090/5,PHOTO-2026-06-08-15-47-01 4.json | PHOTO-2026-06-08-15-47-03.json,2 lignes; prix=['480.0']; images=8
missing_price_imported_inactive,L012/6,PHOTO-2026-06-08-15-47-02 2.json,"price=0, is_available_on_site=false"
merged_duplicate_reference,Y001/6,PHOTO-2026-06-08-15-47-02 5.json,2 lignes; prix=['580.0']; images=4
merged_duplicate_reference,194,PHOTO-2026-06-08-15-47-04.json,4 lignes; prix=['48.0']; images=4
merged_duplicate_reference,L004,PHOTO-2026-06-08-15-47-07 3.json,2 lignes; prix=['2800.0']; images=4
merged_duplicate_reference,L028/6,PHOTO-2026-06-08-15-47-08 3.json,2 lignes; prix=['1100.0']; images=0
merged_duplicate_reference,L007/6,PHOTO-2026-06-08-15-47-09 2.json,2 lignes; prix=['1100.0']; images=4
merged_duplicate_reference,L006/12,PHOTO-2026-06-08-15-47-09 3.json | PHOTO-2026-06-08-15-47-09 4.json,3 lignes; prix=['2300.0']; images=8
merged_duplicate_reference,L012/13,PHOTO-2026-06-08-15-47-10 4.json,2 lignes; prix=['1700.0']; images=4
merged_duplicate_reference,6605,PHOTO-2026-06-08-15-47-10 5.json,"2 lignes; prix=['1950.0', '2950.0']; images=4"
merged_duplicate_reference,6036,PHOTO-2026-06-08-15-47-10 7.json,2 lignes; prix=['580.0']; images=4
missing_price_imported_inactive,MX 25-16,PHOTO-2026-06-08-15-47-10.json,"price=0, is_available_on_site=false"
merged_duplicate_reference,4026,PHOTO-2026-06-08-15-47-11 3.json,5 lignes; prix=['14.5']; images=0
merged_duplicate_reference,B 994,PHOTO-2026-06-08-15-49-00 2.json | PHOTO-2026-06-08-15-49-06.json,2 lignes; prix=['1200.0']; images=8
missing_price_imported_inactive,11813/1 bk,PHOTO-2026-06-08-15-49-00 4.json,"price=0, is_available_on_site=false"
merged_duplicate_reference,12375,PHOTO-2026-06-08-15-49-00.json | PHOTO-2026-06-08-15-49-16 7.json,2 lignes; prix=['285.0']; images=8
merged_duplicate_reference,0145,PHOTO-2026-06-08-15-49-01 2.json | PHOTO-2026-06-08-15-49-03 2.json,2 lignes; prix=['285.0']; images=12
merged_duplicate_reference,81602,PHOTO-2026-06-08-15-49-01 4.json,2 lignes; prix=['550.0']; images=4
merged_duplicate_reference,0231,PHOTO-2026-06-08-15-49-01 5.json | PHOTO-2026-06-08-15-49-04.json,2 lignes; prix=['285.0']; images=12
merged_duplicate_reference,d 9901,PHOTO-2026-06-08-15-49-01.json | PHOTO-2026-06-08-15-49-12 2.json,2 lignes; prix=['4.8']; images=0
merged_duplicate_reference,12373,PHOTO-2026-06-08-15-49-02.json | PHOTO-2026-06-08-15-49-09 4.json,2 lignes; prix=['285.0']; images=8
merged_duplicate_reference,9548,PHOTO-2026-06-08-15-49-03.json,"2 lignes; prix=['1100.0', '780.0']; images=8"
missing_price_imported_inactive,9010,PHOTO-2026-06-08-15-49-04 2.json,"price=0, is_available_on_site=false"
merged_duplicate_reference,55161,PHOTO-2026-06-08-15-49-04 5.json | PHOTO-2026-06-08-15-49-14 4.json | PHOTO-2026-06-08-15-49-16 2.json,"3 lignes; prix=['1200.0', '1450.0', '850.0']; images=12"
merged_duplicate_reference,5002,PHOTO-2026-06-08-15-49-05 2.json | PHOTO-2026-06-08-15-50-57 3.json | PHOTO-2026-06-08-15-51-07 7.json,"3 lignes; prix=['480.0', '650.0']; images=9"
missing_price_imported_inactive,D 9710/3,PHOTO-2026-06-08-15-49-05 3.json,"price=0, is_available_on_site=false"
missing_price_imported_inactive,12209,PHOTO-2026-06-08-15-49-05.json,"price=0, is_available_on_site=false"
merged_duplicate_reference,12065,PHOTO-2026-06-08-15-49-06 2.json,3 lignes; prix=['480.0']; images=4
merged_duplicate_reference,12197,PHOTO-2026-06-08-15-49-06 3.json,3 lignes; prix=['450.0']; images=4
merged_duplicate_reference,3013,PHOTO-2026-06-08-15-49-07 2.json | PHOTO-2026-06-08-15-49-12 3.json,3 lignes; prix=['450.0']; images=8
merged_duplicate_reference,12391,PHOTO-2026-06-08-15-49-07 4.json | PHOTO-2026-06-08-15-49-15 3.json,2 lignes; prix=['550.0']; images=8
merged_duplicate_reference,12063/3 LED,PHOTO-2026-06-08-15-49-09.json,2 lignes; prix=['120.63']; images=4
merged_duplicate_reference,3381/40,PHOTO-2026-06-08-15-49-10 2.json,2 lignes; prix=['850.0']; images=4
merged_duplicate_reference,95540,PHOTO-2026-06-08-15-49-10 3.json,"2 lignes; prix=['1100.0', '780.0']; images=4"
merged_duplicate_reference,6689,PHOTO-2026-06-08-15-49-10 4.json,"2 lignes; prix=['1950.0', '2600.0']; images=4"
missing_price_imported_inactive,D9688,PHOTO-2026-06-08-15-49-10.json,"price=0, is_available_on_site=false"
missing_price_imported_inactive,1701,PHOTO-2026-06-08-15-49-11 4.json,"price=0, is_available_on_site=false"
merged_duplicate_reference,5005,PHOTO-2026-06-08-15-49-11.json,2 lignes; prix=['5.5']; images=4
merged_duplicate_reference,D9806/6+4,PHOTO-2026-06-08-15-49-13 2.json,2 lignes; prix=['580.0']; images=4
merged_duplicate_reference,D9865/6L,PHOTO-2026-06-08-15-49-14.json,2 lignes; prix=['580.0']; images=4
merged_duplicate_reference,2039/8,PHOTO-2026-06-08-15-49-16 4.json,2 lignes; prix=['1350.0']; images=4
merged_duplicate_reference,3381,PHOTO-2026-06-08-15-49-16 6.json,"2 lignes; prix=['1200.0', '1450.0']; images=4"
missing_price_imported_inactive,12375 LED,PHOTO-2026-06-08-15-49-16 7.json,"price=0, is_available_on_site=false"
merged_duplicate_reference,5006,PHOTO-2026-06-08-15-49-17 5.json,2 lignes; prix=['550.0']; images=4
merged_duplicate_reference,12196,PHOTO-2026-06-08-15-49-17 7.json,2 lignes; prix=['450.0']; images=4
merged_duplicate_reference,31502,PHOTO-2026-06-08-15-49-17.json,2 lignes; prix=['580.0']; images=4
merged_duplicate_reference,1011,PHOTO-2026-06-08-15-49-18 3.json,"2 lignes; prix=['1100.0', '1600.0']; images=4"
missing_price_imported_inactive,95488/4 Bd,PHOTO-2026-06-08-15-49-18.json,"price=0, is_available_on_site=false"
merged_duplicate_reference,9824,PHOTO-2026-06-08-15-50-56 2.json | PHOTO-2026-06-08-15-51-02 3.json,2 lignes; prix=['285.0']; images=8
merged_duplicate_reference,9820,PHOTO-2026-06-08-15-50-56.json | PHOTO-2026-06-08-15-51-03 3.json,2 lignes; prix=['295.0']; images=8
merged_duplicate_reference,T 2688,PHOTO-2026-06-08-15-50-57 2.json | PHOTO-2026-06-08-15-50-57.json,2 lignes; prix=['320.0']; images=9
merged_duplicate_reference,868 usb,PHOTO-2026-06-08-15-50-57 4.json | PHOTO-2026-06-08-15-50-57 6.json,"2 lignes; prix=['0.195', '195.0']; images=8"
missing_price_imported_inactive,589 B,PHOTO-2026-06-08-15-50-58 2.json,"price=0, is_available_on_site=false"
merged_duplicate_reference,2233,PHOTO-2026-06-08-15-50-59 2.json | PHOTO-2026-06-08-15-50-59 3.json | PHOTO-2026-06-08-15-50-59 4.json,3 lignes; prix=['160.0']; images=12
merged_duplicate_reference,T 2203,PHOTO-2026-06-08-15-51-00 2.json | PHOTO-2026-06-08-15-51-00 3.json,2 lignes; prix=['320.0']; images=8
merged_duplicate_reference,L 2688,PHOTO-2026-06-08-15-51-00 7.json | PHOTO-2026-06-08-15-51-01.json,2 lignes; prix=['650.0']; images=8
merged_duplicate_reference,L2203,PHOTO-2026-06-08-15-51-02 2.json | PHOTO-2026-06-08-15-51-02.json,2 lignes; prix=['650.0']; images=8
merged_duplicate_reference,6118,PHOTO-2026-06-08-15-51-02 4.json | PHOTO-2026-06-08-15-51-02 5.json | PHOTO-2026-06-08-15-51-03 2.json | PHOTO-2026-06-08-15-51-03.json,4 lignes; prix=['750.0']; images=16
merged_duplicate_reference,9801,PHOTO-2026-06-08-15-51-04 2.json | PHOTO-2026-06-08-15-51-04 3.json | PHOTO-2026-06-08-15-51-05.json,"4 lignes; prix=['32.0', '320.0']; images=12"
merged_duplicate_reference,A1007,PHOTO-2026-06-08-15-51-05 2.json,2 lignes; prix=['295.0']; images=4
missing_price_imported_inactive,RT 9272 -C,PHOTO-2026-06-08-15-51-07 2.json,"price=0, is_available_on_site=false"
merged_duplicate_reference,B 8016,PHOTO-2026-06-08-15-51-08 4.json | PHOTO-2026-06-08-15-51-08 5.json,2 lignes; prix=['285.0']; images=8
merged_duplicate_reference,5880,PHOTO-2026-06-08-16-18-45 2.json | PHOTO-2026-06-08-16-49-07 3.json,"2 lignes; prix=['120.0', '145.0']; images=4"
merged_duplicate_reference,5879,PHOTO-2026-06-08-16-18-45 3.json | PHOTO-2026-06-08-16-49-07.json,"2 lignes; prix=['130.0', '145.0']; images=0"
merged_duplicate_reference,2450/3-1-2-3,PHOTO-2026-06-08-16-18-46 2.json | PHOTO-2026-06-08-16-40-47.json,"2 lignes; prix=['210.0', '280.0']; images=0"
merged_duplicate_reference,2447/3-1-2-3,PHOTO-2026-06-08-16-18-46 3.json | PHOTO-2026-06-08-16-40-47 3.json,"6 lignes; prix=['210.0', '260.0']; images=4"
merged_duplicate_reference,2455/3-1-2-3,PHOTO-2026-06-08-16-18-46 4.json | PHOTO-2026-06-08-16-40-47 2.json,"2 lignes; prix=['260.0', '280.0']; images=0"
merged_duplicate_reference,2458,PHOTO-2026-06-08-16-18-46 5.json | PHOTO-2026-06-08-16-40-46 7.json,"4 lignes; prix=['230.0', '28.0']; images=4"
merged_duplicate_reference,2453,PHOTO-2026-06-08-16-18-46 6.json | PHOTO-2026-06-08-16-40-46 3.json,"2 lignes; prix=['320.0', '350.0']; images=4"
merged_duplicate_reference,2466,PHOTO-2026-06-08-16-18-47 2.json | PHOTO-2026-06-08-16-18-47.json | PHOTO-2026-06-08-16-33-01 2.json | PHOTO-2026-06-08-16-33-01 3.json,"4 lignes; prix=['245.0', '320.0']; images=10"
merged_duplicate_reference,2586,PHOTO-2026-06-08-16-18-47 3.json,2 lignes; prix=['180.0']; images=4
merged_duplicate_reference,2684,PHOTO-2026-06-08-16-18-47 4.json | PHOTO-2026-06-08-16-49-07 4.json,"2 lignes; prix=['125.0', '160.0']; images=4"
merged_duplicate_reference,2685,PHOTO-2026-06-08-16-18-47 5.json | PHOTO-2026-06-08-16-18-47 6.json,2 lignes; prix=['190.0']; images=8
missing_price_imported_inactive,2686,PHOTO-2026-06-08-16-18-47 7.json,"price=0, is_available_on_site=false"
merged_duplicate_reference,2689,PHOTO-2026-06-08-16-18-47 9.json,"2 lignes; prix=['145.0', '65.0']; images=4"
merged_duplicate_reference,2751,PHOTO-2026-06-08-16-18-48 2.json | PHOTO-2026-06-08-16-40-37 5.json,2 lignes; prix=['75.0']; images=5
merged_duplicate_reference,2864,PHOTO-2026-06-08-16-18-48 3.json | PHOTO-2026-06-08-16-22-57 5.json,"2 lignes; prix=['110.0', '130.0']; images=8"
merged_duplicate_reference,2866,PHOTO-2026-06-08-16-18-48 4.json | PHOTO-2026-06-08-16-22-57 3.json,"2 lignes; prix=['160.0', '28.66']; images=8"
merged_duplicate_reference,2740,PHOTO-2026-06-08-16-18-48 5.json | PHOTO-2026-06-08-16-40-37 2.json,"2 lignes; prix=['105.0', '145.0']; images=1"
merged_duplicate_reference,2817/3-1-2-3,PHOTO-2026-06-08-16-18-48 6.json | PHOTO-2026-06-08-16-18-50 2.json | PHOTO-2026-06-08-16-33-05 4.json | PHOTO-2026-06-08-16-33-06.json,"4 lignes; prix=['220.0', '280.0']; images=4"
merged_duplicate_reference,2744,PHOTO-2026-06-08-16-18-48 8.json | PHOTO-2026-06-08-16-40-41 3.json,"2 lignes; prix=['30.0', '40.0']; images=4"
merged_duplicate_reference,2749,PHOTO-2026-06-08-16-18-49 2.json | PHOTO-2026-06-08-16-40-41 5.json | PHOTO-2026-06-08-16-41-20 5.json,"3 lignes; prix=['420.0', '45.0', '55.0']; images=2"
merged_duplicate_reference,2747,PHOTO-2026-06-08-16-18-49 2.json | PHOTO-2026-06-08-16-40-41 6.json | PHOTO-2026-06-08-16-41-20 8.json,"3 lignes; prix=['295.0', '45.0', '55.0']; images=5"
merged_duplicate_reference,2748,PHOTO-2026-06-08-16-18-49 2.json | PHOTO-2026-06-08-16-40-41.json | PHOTO-2026-06-08-16-41-20 4.json,"3 lignes; prix=['0.23', '55.0']; images=5"
merged_duplicate_reference,2746,PHOTO-2026-06-08-16-18-49 3.json | PHOTO-2026-06-08-16-40-41 4.json,2 lignes; prix=['65.0']; images=4
