original_name,detected_extension,image_key,reason,match_v2_reason,match_v2_clean_key,match_v2_candidates
380(1).  #2,.jpg,3801,aucune,aucune-correspondance,3801,[]
380(1).  #3,.jpg,3801,aucune,aucune-correspondance,3801,[]
380(1).  #4,.jpg,3801,aucune,aucune-correspondance,3801,[]
380-rouge.   #1,.jpg,380rouge,aucune,aucune-correspondance,380,[]
380-rouge.   #2,.jpg,380rouge,aucune,aucune-correspondance,380,[]
380-rouge.   #3,.jpg,380rouge,aucune,aucune-correspondance,380,[]
380-rouge.   #4,.jpg,380rouge,aucune,aucune-correspondance,380,[]
380.  #1,.png,380,aucune,aucune-correspondance,380,[]
380.  #2,.jpg,380,aucune,aucune-correspondance,380,[]
380.  #3,.jpg,380,aucune,aucune-correspondance,380,[]
380.  #4,.jpg,380,aucune,aucune-correspondance,380,[]
6100.png,.png,6100,aucune,aucune-correspondance,6100,[]
7001.   #1,.png,7001,aucune,aucune-correspondance,7001,[]
7001.   #2,.png,7001,aucune,aucune-correspondance,7001,[]
7001.   #3,.png,7001,aucune,aucune-correspondance,7001,[]
7001.   #4,.png,7001,aucune,aucune-correspondance,7001,[]
7415_16_17(1).jpg,.jpg,741516171,aucune,aucune-correspondance,741516171,[]
788 6 chaises.png,.png,7886chaises,aucune,ambigu,7886chaises,"[""788"", ""h788-1""]"
81025 #1.png,.png,81025,aucune,aucune-correspondance,81025,"[""8102""]"
81025 #2.png,.png,81025,aucune,aucune-correspondance,81025,"[""8102""]"
81025 #3.png,.png,81025,aucune,aucune-correspondance,81025,"[""8102""]"
81025 #4.png,.png,81025,aucune,aucune-correspondance,81025,"[""8102""]"
8167_2-1-2 (white).jpg,.jpg,8167212white,aucune,aucune-correspondance,8167212,[]
8169_2-1-2 (black)(1).jpg,.jpg,8169212black1,aucune,aucune-correspondance,81692121,[]
8169_2-1-2 (black).jpg,.jpg,8169212black,aucune,aucune-correspondance,8169212,[]
8169_2-1-2 (white).jpg,.jpg,8169212white,aucune,aucune-correspondance,8169212,[]
8173_2-1-2 (black).jpg,.jpg,8173212black,aucune,aucune-correspondance,8173212,[]
8173_2-1-2 (white).jpg,.jpg,8173212white,aucune,aucune-correspondance,8173212,[]
999.jpg,.jpg,999,aucune,aucune-correspondance,999,[]
d 205.   #1,.png,d205,aucune,aucune-correspondance,d205,[]
d 205.   #2,.jpg,d205,aucune,aucune-correspondance,d205,[]
d 205.   #3,.jpg,d205,aucune,aucune-correspondance,d205,[]
d 205.   #4,.jpg,d205,aucune,aucune-correspondance,d205,[]
d 206.   #1,.jpg,d206,aucune,aucune-correspondance,d206,[]
d 206.   #2,.png,d206,aucune,aucune-correspondance,d206,[]
d 206.   #3,.jpg,d206,aucune,aucune-correspondance,d206,[]
d 206.   #4,.jpg,d206,aucune,aucune-correspondance,d206,[]
D 9901.    #1,.jpg,d9901,aucune,ambigu,d9901,"[""D 9901"", ""d 9901""]"
D 9901.    #2,.jpg,d9901,aucune,ambigu,d9901,"[""D 9901"", ""d 9901""]"
D 9901.    #3,.jpg,d9901,aucune,ambigu,d9901,"[""D 9901"", ""d 9901""]"
D 9901.    #4,.jpg,d9901,aucune,ambigu,d9901,"[""D 9901"", ""d 9901""]"
d 9901.   #1,.png,d9901,aucune,ambigu,d9901,"[""D 9901"", ""d 9901""]"
d 9901.   #2,.jpg,d9901,aucune,ambigu,d9901,"[""D 9901"", ""d 9901""]"
d 9901.   #3,.jpg,d9901,aucune,ambigu,d9901,"[""D 9901"", ""d 9901""]"
d 9901.   #4,.jpg,d9901,aucune,ambigu,d9901,"[""D 9901"", ""d 9901""]"
Flower 1 ( red).jpg,.jpg,flower1red,aucune,ambigu,flower1,"[""Flower 1"", ""flower 1""]"
Flower 1 (green).jpg,.jpg,flower1green,aucune,ambigu,flower1,"[""Flower 1"", ""flower 1""]"
Flower 1 (light blue).jpg,.jpg,flower1lightblue,aucune,ambigu,flower1light,"[""Flower 1"", ""flower 1""]"
flower 1 (transparent).jpg,.jpg,flower1transparent,aucune,ambigu,flower1,"[""Flower 1"", ""flower 1""]"
flower 1 (white).jpg,.jpg,flower1white,aucune,ambigu,flower1,"[""Flower 1"", ""flower 1""]"
flower 1.  (Blue).jpg,.jpg,flower1blue,aucune,ambigu,flower1,"[""Flower 1"", ""flower 1""]"
flower 1. (Purple).jpg,.jpg,flower1purple,aucune,ambigu,flower1,"[""Flower 1"", ""flower 1""]"
flower 1.(yellow).jpg,.jpg,flower1yellow,aucune,ambigu,flower1,"[""Flower 1"", ""flower 1""]"
flower 2 (light blue ).jpg,.jpg,flower2lightblue,aucune,aucune-correspondance,flower2light,"[""flower 2""]"
Flower 3 ( red).jpg,.jpg,flower3red,aucune,ambigu,flower3,"[""Flower 3"", ""flower 3""]"
Flower 3 (green).jpg,.jpg,flower3green,aucune,ambigu,flower3,"[""Flower 3"", ""flower 3""]"
Flower 3 (light blue).jpg,.jpg,flower3lightblue,aucune,ambigu,flower3light,"[""Flower 3"", ""flower 3""]"
Flower 3 (purple)(1).jpg,.jpg,flower3purple1,aucune,ambigu,flower31,"[""Flower 3"", ""flower 3""]"
Flower 3 (purple).jpg,.jpg,flower3purple,aucune,ambigu,flower3,"[""Flower 3"", ""flower 3""]"
Flower 3 (transparent)_.jpg,.jpg,flower3transparent,aucune,ambigu,flower3,"[""Flower 3"", ""flower 3""]"
flower 3 (yellow).jpg,.jpg,flower3yellow,aucune,ambigu,flower3,"[""Flower 3"", ""flower 3""]"
flower 3.  (White).jpg,.jpg,flower3white,aucune,ambigu,flower3,"[""Flower 3"", ""flower 3""]"
Flower 3. (Blue).jpg,.jpg,flower3blue,aucune,ambigu,flower3,"[""Flower 3"", ""flower 3""]"
IMG_2412.PNG,.jpg,img2412,aucune,aucune-correspondance,img2412,[]
L 2258_grey.   #1,.jpg,l2258grey,aucune,ambigu,l2258,"[""L 2258"", ""L2258"", ""T 2258"", ""T2258""]"
L 2258_grey.   #2,.png,l2258grey,aucune,ambigu,l2258,"[""L 2258"", ""L2258"", ""T 2258"", ""T2258""]"
L 2258_grey.   #3,.jpg,l2258grey,aucune,ambigu,l2258,"[""L 2258"", ""L2258"", ""T 2258"", ""T2258""]"
L 2258_grey.   #4,.jpg,l2258grey,aucune,ambigu,l2258,"[""L 2258"", ""L2258"", ""T 2258"", ""T2258""]"
L2258_white.    #1,.jpg,l2258white,aucune,ambigu,l2258,"[""L 2258"", ""L2258"", ""T 2258"", ""T2258""]"
L2258_white.    #2,.jpg,l2258white,aucune,ambigu,l2258,"[""L 2258"", ""L2258"", ""T 2258"", ""T2258""]"
L2258_white.    #3,.jpg,l2258white,aucune,ambigu,l2258,"[""L 2258"", ""L2258"", ""T 2258"", ""T2258""]"
L2258_white.    #4,.jpg,l2258white,aucune,ambigu,l2258,"[""L 2258"", ""L2258"", ""T 2258"", ""T2258""]"
LO19_6.  #1,.png,lo196,aucune,aucune-correspondance,lo196,[]
LO19_6.  #2,.png,lo196,aucune,aucune-correspondance,lo196,[]
LO19_6.  #3,.png,lo196,aucune,aucune-correspondance,lo196,[]
LO19_6.  #4,.png,lo196,aucune,aucune-correspondance,lo196,[]
LO21_5.  #1,.png,lo215,aucune,aucune-correspondance,lo215,[]
LO21_5.  #2,.png,lo215,aucune,aucune-correspondance,lo215,[]
LO21_5.  #3,.png,lo215,aucune,aucune-correspondance,lo215,[]
LO21_5.  #4,.png,lo215,aucune,aucune-correspondance,lo215,[]
LO28_6.  #1,.png,lo286,aucune,aucune-correspondance,lo286,[]
LO28_6.  #2,.jpg,lo286,aucune,aucune-correspondance,lo286,[]
LO28_6.  #3,.jpg,lo286,aucune,aucune-correspondance,lo286,[]
LO28_6.  #4,.jpg,lo286,aucune,aucune-correspondance,lo286,[]
Rim 55.jpg,.jpg,rim55,aucune,aucune-correspondance,rim55,[]
SC 149(1).png,.png,sc1491,aucune,ambigu,sc1491,"[""149"", ""SC 149""]"
SR 4013_60 or SR 4013_80 #1.png,.png,sr401360orsr401380,aucune,aucune-correspondance,sr401360sr401380,[]
SR 4013_60 or SR 4013_80 #2.png,.png,sr401360orsr401380,aucune,aucune-correspondance,sr401360sr401380,[]
SR 4013_60 or SR 4013_80 #3.png,.png,sr401360orsr401380,aucune,aucune-correspondance,sr401360sr401380,[]
SR 4013_60 or SR 4013_80 #4.png,.png,sr401360orsr401380,aucune,aucune-correspondance,sr401360sr401380,[]
T 2258_white.  #1,.png,t2258white,aucune,ambigu,t2258,"[""L 2258"", ""L2258"", ""T 2258"", ""T2258""]"
T 2258_white.  #2,.png,t2258white,aucune,ambigu,t2258,"[""L 2258"", ""L2258"", ""T 2258"", ""T2258""]"
T 2258_white.  #3,.png,t2258white,aucune,ambigu,t2258,"[""L 2258"", ""L2258"", ""T 2258"", ""T2258""]"
T 2258_white.  #4,.png,t2258white,aucune,ambigu,t2258,"[""L 2258"", ""L2258"", ""T 2258"", ""T2258""]"
T2258_black.   #1,.png,t2258black,aucune,ambigu,t2258,"[""L 2258"", ""L2258"", ""T 2258"", ""T2258""]"
T2258_black.   #2,.png,t2258black,aucune,ambigu,t2258,"[""L 2258"", ""L2258"", ""T 2258"", ""T2258""]"
T2258_black.   #3,.png,t2258black,aucune,ambigu,t2258,"[""L 2258"", ""L2258"", ""T 2258"", ""T2258""]"
T2258_black.   #4,.png,t2258black,aucune,ambigu,t2258,"[""L 2258"", ""L2258"", ""T 2258"", ""T2258""]"
Unknown.jpg,.jpg,unknown,aucune,aucune-correspondance,unknown,[]
Unknown_.png,.png,unknown,aucune,aucune-correspondance,unknown,[]
