source_json,image_index,product_index,detected_product_type,rubrique,categorie,famille,description,colors,price_box_regions,logo_regions,warnings,reference,name,size,price,confidence_reference,confidence_price
PHOTO-2026-06-08-15-42-16 3.json,1,2,Lustre suspendu en cristal coloré,Luminaires > Luminaires suspendus > Lustres,Luminaires,Lustre,"Ce chandelier suspendu élégant se compose d'une structure en métal doré avec de multiples branches ornées de longs cristaux colorés en verre. Son design moderne et sophistiqué diffuse une lumière chaleureuse, rendant votre espace de vie ou salle à manger plus accueillant et lumineux. Parfait pour les salons, salles à manger ou espaces de réception, il apporte une touche de luxe et de couleur à votre intérieur marocain contemporain.","[""Orange"",""Bleu"",""Jaune"",""Rose"",""Turquoise"",""Violet""]","[{""x_min"":0.03,""y_min"":0.02,""x_max"":0.97,""y_max"":0.27,""confidence"":0.95}]","[{""x_min"":0.87,""y_min"":0.02,""x_max"":1.0,""y_max"":0.12,""confidence"":0.8}]","[""Les références exactes des produits ne sont pas détectées.""]",,,,1100.0,0.0,0.99
PHOTO-2026-06-08-15-42-16 3.json,1,3,Lustre suspendu en cristal coloré,Luminaires > Luminaires suspendus > Lustres,Luminaires,Lustre,"Ce chandelier suspendu élégant se compose d'une structure en métal doré avec de multiples branches ornées de longs cristaux colorés en verre. Son design moderne et sophistiqué diffuse une lumière chaleureuse, rendant votre espace de vie ou salle à manger plus accueillant et lumineux. Parfait pour les salons, salles à manger ou espaces de réception, il apporte une touche de luxe et de couleur à votre intérieur marocain contemporain.","[""Orange"",""Bleu"",""Jaune"",""Rose"",""Turquoise"",""Violet""]","[{""x_min"":0.03,""y_min"":0.02,""x_max"":0.97,""y_max"":0.27,""confidence"":0.95}]","[{""x_min"":0.87,""y_min"":0.02,""x_max"":1.0,""y_max"":0.12,""confidence"":0.8}]","[""Les références exactes des produits ne sont pas détectées.""]",,,,1700.0,0.0,0.99
PHOTO-2026-06-08-15-42-16 3.json,1,4,Lustre suspendu en cristal coloré,Luminaires > Luminaires suspendus > Lustres,Luminaires,Lustre,"Ce chandelier suspendu élégant se compose d'une structure en métal doré avec de multiples branches ornées de longs cristaux colorés en verre. Son design moderne et sophistiqué diffuse une lumière chaleureuse, rendant votre espace de vie ou salle à manger plus accueillant et lumineux. Parfait pour les salons, salles à manger ou espaces de réception, il apporte une touche de luxe et de couleur à votre intérieur marocain contemporain.","[""Orange"",""Bleu"",""Jaune"",""Rose"",""Turquoise"",""Violet""]","[{""x_min"":0.03,""y_min"":0.02,""x_max"":0.97,""y_max"":0.27,""confidence"":0.95}]","[{""x_min"":0.87,""y_min"":0.02,""x_max"":1.0,""y_max"":0.12,""confidence"":0.8}]","[""Les références exactes des produits ne sont pas détectées.""]",,,,2300.0,0.0,0.99
PHOTO-2026-06-08-15-42-16 3.json,1,5,Lustre suspendu en cristal coloré,Luminaires > Luminaires suspendus > Lustres,Luminaires,Lustre,"Ce chandelier suspendu élégant se compose d'une structure en métal doré avec de multiples branches ornées de longs cristaux colorés en verre. Son design moderne et sophistiqué diffuse une lumière chaleureuse, rendant votre espace de vie ou salle à manger plus accueillant et lumineux. Parfait pour les salons, salles à manger ou espaces de réception, il apporte une touche de luxe et de couleur à votre intérieur marocain contemporain.","[""Orange"",""Bleu"",""Jaune"",""Rose"",""Turquoise"",""Violet""]","[{""x_min"":0.03,""y_min"":0.02,""x_max"":0.97,""y_max"":0.27,""confidence"":0.95}]","[{""x_min"":0.87,""y_min"":0.02,""x_max"":1.0,""y_max"":0.12,""confidence"":0.8}]","[""Les références exactes des produits ne sont pas détectées.""]",,,120L,1700.0,0.0,0.99
PHOTO-2026-06-08-15-42-16.json,1,1,Lampe suspendue en verre coloré,Luminaires > Luminaires suspendus > Lustres,,,"Ce lustre suspendu se caractérise par une structure en métal doré orné de nombreuses pampilles en verre coloré dans des nuances de bleu, jaune, orange, rouge, et transparent. Son design élégant et lumineux apportera une touche sophistiquée et chaleureuse à une pièce de vie, une salle à manger ou un hall d'entrée. La diffusion de la lumière à travers ses pampilles en verre crée une ambiance accueillante et décorative, idéale pour un intérieur moderne ou classique revisité.","[""Bleu"",""Jaune"",""Orange"",""Rouge"",""Transparent""]","[{""x_min"":0.0,""y_min"":0.0,""x_max"":1.0,""y_max"":1.0,""confidence"":0.98}]","[{""x_min"":0.0,""y_min"":0.9,""x_max"":0.1,""y_max"":1.0,""confidence"":0.75}]",[],7301,Lampe suspendue en verre coloré,80x180,8500.0,0.95,0.95
PHOTO-2026-06-08-15-42-16.json,1,2,Lampe suspendue en verre coloré,Luminaires > Luminaires suspendus > Lustres,,,"Ce lustre suspendu se caractérise par une structure en métal doré orné de nombreuses pampilles en verre coloré dans des nuances de bleu, jaune, orange, rouge, et transparent. Son design élégant et lumineux apportera une touche sophistiquée et chaleureuse à une pièce de vie, une salle à manger ou un hall d'entrée. La diffusion de la lumière à travers ses pampilles en verre crée une ambiance accueillante et décorative, idéale pour un intérieur moderne ou classique revisité.","[""Bleu"",""Jaune"",""Orange"",""Rouge"",""Transparent""]","[{""x_min"":0.0,""y_min"":0.0,""x_max"":1.0,""y_max"":1.0,""confidence"":0.98}]","[{""x_min"":0.0,""y_min"":0.9,""x_max"":0.1,""y_max"":1.0,""confidence"":0.75}]",[],7301,Lampe suspendue en verre coloré,80x180,8500.0,0.95,0.95
PHOTO-2026-06-08-15-42-17 2.json,1,1,Lustre suspendu en cristal au design contemporain,Luminaires > Luminaires suspendus > Lustres,Luminaires,,"Ce lustre suspendu en cristal offre un design contemporain avec ses longues tiges en verre coloré et sa structure dorée. Il diffuse une lumière élégante et sophistiquée, idéale pour illuminer et décorer un salon ou une salle à manger. Son style moderne et raffiné apporte une touche de luxe et de modernité à tout intérieur marocain. Parfait pour créer une ambiance chaleureuse et accueillante dans les espaces de vie ou de réception.","[""Bleu"",""Jaune"",""Transparent""]","[{""x_min"":0.016,""y_min"":0.894,""x_max"":0.987,""y_max"":1.0,""confidence"":0.99}]",[],[],2241,Lustre suspendu en cristal contemporain,60×180,6500.0,0.95,0.9
PHOTO-2026-06-08-15-42-17 3.json,1,1,Lustre en cristal,Luminaires > Luminaires suspendus > Lustres,Luminaires,,"Ce lustre suspendu habille élégamment un espace intérieur avec son design en cristal étincelant. Son cadre doré supporte une multitude de cristaux taillés qui diffusent une lumière douce et raffinée. Parfait pour embellir un salon, une salle à manger ou une entrée, il apporte une touche de luxe et de brillance à votre décoration. Son style classique avec une touche moderne s’intègre harmonieusement dans une décoration intérieure sophistiquée et contemporaine, créant une ambiance chaleureuse et élégante.","[""Transparent"",""Doré""]","[{""x_min"":0.01,""y_min"":0.75,""x_max"":0.4,""y_max"":0.85,""confidence"":0.99},{""x_min"":0.6,""y_min"":0.75,""x_max"":0.98,""y_max"":0.85,""confidence"":0.99},{""x_min"":0.01,""y_min"":0.85,""x_max"":0.4,""y_max"":0.95,""confidence"":0.99},{""x_min"":0.6,""y_min"":0.85,""x_max"":0.98,""y_max"":0.95,""confidence"":0.99}]","[{""x_min"":0.84,""y_min"":0.89,""x_max"":0.91,""y_max"":0.94,""confidence"":0.95}]",[],8338/45,Lustre en cristal doré à multiple chaînes,,790.0,0.95,0.9
PHOTO-2026-06-08-15-42-17 3.json,1,2,Lustre en cristal,Luminaires > Luminaires suspendus > Lustres,Luminaires,,"Ce lustre suspendu habille élégamment un espace intérieur avec son design en cristal étincelant. Son cadre doré supporte une multitude de cristaux taillés qui diffusent une lumière douce et raffinée. Parfait pour embellir un salon, une salle à manger ou une entrée, il apporte une touche de luxe et de brillance à votre décoration. Son style classique avec une touche moderne s’intègre harmonieusement dans une décoration intérieure sophistiquée et contemporaine, créant une ambiance chaleureuse et élégante.","[""Transparent"",""Doré""]","[{""x_min"":0.01,""y_min"":0.75,""x_max"":0.4,""y_max"":0.85,""confidence"":0.99},{""x_min"":0.6,""y_min"":0.75,""x_max"":0.98,""y_max"":0.85,""confidence"":0.99},{""x_min"":0.01,""y_min"":0.85,""x_max"":0.4,""y_max"":0.95,""confidence"":0.99},{""x_min"":0.6,""y_min"":0.85,""x_max"":0.98,""y_max"":0.95,""confidence"":0.99}]","[{""x_min"":0.84,""y_min"":0.89,""x_max"":0.91,""y_max"":0.94,""confidence"":0.95}]",[],8338/55,Lustre en cristal doré à multi-chaînes,,1100.0,0.95,0.9
PHOTO-2026-06-08-15-42-17 3.json,1,3,Lustre en cristal,Luminaires > Luminaires suspendus > Lustres,Luminaires,,"Ce lustre suspendu habille élégamment un espace intérieur avec son design en cristal étincelant. Son cadre doré supporte une multitude de cristaux taillés qui diffusent une lumière douce et raffinée. Parfait pour embellir un salon, une salle à manger ou une entrée, il apporte une touche de luxe et de brillance à votre décoration. Son style classique avec une touche moderne s’intègre harmonieusement dans une décoration intérieure sophistiquée et contemporaine, créant une ambiance chaleureuse et élégante.","[""Transparent"",""Doré""]","[{""x_min"":0.01,""y_min"":0.75,""x_max"":0.4,""y_max"":0.85,""confidence"":0.99},{""x_min"":0.6,""y_min"":0.75,""x_max"":0.98,""y_max"":0.85,""confidence"":0.99},{""x_min"":0.01,""y_min"":0.85,""x_max"":0.4,""y_max"":0.95,""confidence"":0.99},{""x_min"":0.6,""y_min"":0.85,""x_max"":0.98,""y_max"":0.95,""confidence"":0.99}]","[{""x_min"":0.84,""y_min"":0.89,""x_max"":0.91,""y_max"":0.94,""confidence"":0.95}]",[],8338/80,Lustre en cristal doré à longues chaînes,30,1200.0,0.95,0.9
PHOTO-2026-06-08-15-42-17 4.json,1,1,Luminaire > Lustres > Lustres design contemporain,Luminaires,Luminaires,,"Ce lustre suspendu au design contemporain est une pièce unique alliant élégance et modernité, idéal pour éclairer avec style le salon, la salle à manger ou un espace de réception. Composé de branches sculpturales en finition dorée, il supporte de multiples ampoules qui diffusent une lumière chaleureuse et accueillante. Sa structure originale en métal et ses éléments en verre coloré apportent une touche d'art et de décoration à votre intérieur. Parfait pour une ambiance raffinée, ce luminaire mettra en valeur les espaces résidentiels ou commerciaux modernes, tout en offrant une lumière diffuse harmonieuse.","[""Jaune"",""Noir""]","[{""x_min"":0.01,""y_min"":0.78,""x_max"":0.49,""y_max"":0.94,""confidence"":0.95}]","[{""x_min"":0.85,""y_min"":0.01,""x_max"":0.95,""y_max"":0.09,""confidence"":0.99}]",[],7302,Lustre design contemporain,,750.0,0.9,0.98
PHOTO-2026-06-08-15-42-17 4.json,1,2,Luminaire > Lustres > Lustres design contemporain,Luminaires,Luminaires,,"Ce lustre suspendu au design contemporain est une pièce unique alliant élégance et modernité, idéal pour éclairer avec style le salon, la salle à manger ou un espace de réception. Composé de branches sculpturales en finition dorée, il supporte de multiples ampoules qui diffusent une lumière chaleureuse et accueillante. Sa structure originale en métal et ses éléments en verre coloré apportent une touche d'art et de décoration à votre intérieur. Parfait pour une ambiance raffinée, ce luminaire mettra en valeur les espaces résidentiels ou commerciaux modernes, tout en offrant une lumière diffuse harmonieuse.","[""Jaune"",""Noir""]","[{""x_min"":0.01,""y_min"":0.78,""x_max"":0.49,""y_max"":0.94,""confidence"":0.95}]","[{""x_min"":0.85,""y_min"":0.01,""x_max"":0.95,""y_max"":0.09,""confidence"":0.99}]",[],7302,Lustre design contemporain,60,1100.0,0.9,0.98
PHOTO-2026-06-08-15-42-17 4.json,1,3,Luminaire > Lustres > Lustres design contemporain,Luminaires,Luminaires,,"Ce lustre suspendu au design contemporain est une pièce unique alliant élégance et modernité, idéal pour éclairer avec style le salon, la salle à manger ou un espace de réception. Composé de branches sculpturales en finition dorée, il supporte de multiples ampoules qui diffusent une lumière chaleureuse et accueillante. Sa structure originale en métal et ses éléments en verre coloré apportent une touche d'art et de décoration à votre intérieur. Parfait pour une ambiance raffinée, ce luminaire mettra en valeur les espaces résidentiels ou commerciaux modernes, tout en offrant une lumière diffuse harmonieuse.","[""Jaune"",""Noir""]","[{""x_min"":0.01,""y_min"":0.78,""x_max"":0.49,""y_max"":0.94,""confidence"":0.95}]","[{""x_min"":0.85,""y_min"":0.01,""x_max"":0.95,""y_max"":0.09,""confidence"":0.99}]",[],7302,Lustre design contemporain,80,1700.0,0.9,0.98
PHOTO-2026-06-08-15-42-17 4.json,1,4,Luminaire > Lustres > Lustres design contemporain,Luminaires,Luminaires,,"Ce lustre suspendu au design contemporain est une pièce unique alliant élégance et modernité, idéal pour éclairer avec style le salon, la salle à manger ou un espace de réception. Composé de branches sculpturales en finition dorée, il supporte de multiples ampoules qui diffusent une lumière chaleureuse et accueillante. Sa structure originale en métal et ses éléments en verre coloré apportent une touche d'art et de décoration à votre intérieur. Parfait pour une ambiance raffinée, ce luminaire mettra en valeur les espaces résidentiels ou commerciaux modernes, tout en offrant une lumière diffuse harmonieuse.","[""Jaune"",""Noir""]","[{""x_min"":0.01,""y_min"":0.78,""x_max"":0.49,""y_max"":0.94,""confidence"":0.95}]","[{""x_min"":0.85,""y_min"":0.01,""x_max"":0.95,""y_max"":0.09,""confidence"":0.99}]",[],7302,Lustre design contemporain,100,2300.0,0.9,0.98
PHOTO-2026-06-08-15-42-17 4.json,1,5,Luminaire > Lustres > Lustres design contemporain,Luminaires,Luminaires,,"Ce lustre suspendu au design contemporain est une pièce unique alliant élégance et modernité, idéal pour éclairer avec style le salon, la salle à manger ou un espace de réception. Composé de branches sculpturales en finition dorée, il supporte de multiples ampoules qui diffusent une lumière chaleureuse et accueillante. Sa structure originale en métal et ses éléments en verre coloré apportent une touche d'art et de décoration à votre intérieur. Parfait pour une ambiance raffinée, ce luminaire mettra en valeur les espaces résidentiels ou commerciaux modernes, tout en offrant une lumière diffuse harmonieuse.","[""Jaune"",""Noir""]","[{""x_min"":0.01,""y_min"":0.78,""x_max"":0.49,""y_max"":0.94,""confidence"":0.95}]","[{""x_min"":0.85,""y_min"":0.01,""x_max"":0.95,""y_max"":0.09,""confidence"":0.99}]",[],7302,Lustre design contemporain,120L,1700.0,0.9,0.98
PHOTO-2026-06-08-15-42-17.json,1,1,Lustre suspendu décoratif en verre coloré avec structure dorée,Luminaires > Luminaires suspendus > Lustres,Luminaires,Lustres,"Ce lustre suspendu captivant présente une structure en finition dorée ornée de multiples pendentifs en verre coloré dans des teintes vives telles que le jaune, le bleu, le rouge et le noir. Son design artistique et moderne apporte une touche d'élégance et de dynamisme à tout espace intérieur, parfait pour le salon, la salle à manger ou une entrée. Il diffuse une lumière chaleureuse et décorative, créant une ambiance accueillante et sophistiquée. Facile à installer, ce luminaire devient un point focal qui rehausse le style de votre décoration intérieure.","[""Jaune"",""Bleu"",""Rouge"",""Noir""]","[{""x_min"":0.05,""y_min"":0.84,""x_max"":0.33,""y_max"":0.96,""confidence"":0.98},{""x_min"":0.34,""y_min"":0.84,""x_max"":0.65,""y_max"":0.96,""confidence"":0.97},{""x_min"":0.66,""y_min"":0.84,""x_max"":0.92,""y_max"":0.96,""confidence"":0.96},{""x_min"":0.93,""y_min"":0.84,""x_max"":1.0,""y_max"":0.96,""confidence"":0.95}]",[],[],7302,Lustre suspendu en verre coloré avec structure dorée,80×180,8500.0,0.99,0.99
PHOTO-2026-06-08-15-42-17.json,1,2,Lustre suspendu décoratif en verre coloré avec structure dorée,Luminaires > Luminaires suspendus > Lustres,Luminaires,Lustres,"Ce lustre suspendu captivant présente une structure en finition dorée ornée de multiples pendentifs en verre coloré dans des teintes vives telles que le jaune, le bleu, le rouge et le noir. Son design artistique et moderne apporte une touche d'élégance et de dynamisme à tout espace intérieur, parfait pour le salon, la salle à manger ou une entrée. Il diffuse une lumière chaleureuse et décorative, créant une ambiance accueillante et sophistiquée. Facile à installer, ce luminaire devient un point focal qui rehausse le style de votre décoration intérieure.","[""Jaune"",""Bleu"",""Rouge"",""Noir""]","[{""x_min"":0.05,""y_min"":0.84,""x_max"":0.33,""y_max"":0.96,""confidence"":0.98},{""x_min"":0.34,""y_min"":0.84,""x_max"":0.65,""y_max"":0.96,""confidence"":0.97},{""x_min"":0.66,""y_min"":0.84,""x_max"":0.92,""y_max"":0.96,""confidence"":0.96},{""x_min"":0.93,""y_min"":0.84,""x_max"":1.0,""y_max"":0.96,""confidence"":0.95}]",[],[],7302,Lustre suspendu en verre coloré avec structure dorée,80×180,8500.0,0.99,0.99
PHOTO-2026-06-08-15-42-18 2.json,1,1,Lustre en cristal,Luminaires > Luminaires suspendus > Lustres,Luminaires,Lustre,"Ce lustre en cristal doté de multiples pendentifs en verre transparent diffuse une lumière chaleureuse et élégante. Son design contemporain avec une structure en finition dorée apportera une touche sophistiquée et raffinée à votre salon, salle à manger ou entrée. Son effet brillant et sa configuration en couches créent une ambiance lumineuse et décorative idéale pour un intérieur moderne ou classique. Son installation dans une pièce spacieuse permettra d'accentuer l’aspect luxueux et la beauté du cristal, en faisant un véritable point focal qui combine fonctionnalité et décoration.","[""Doré"",""Transparent""]","[{""x_min"":0.01,""y_min"":0.81,""x_max"":0.14,""y_max"":0.89,""confidence"":0.95},{""x_min"":0.01,""y_min"":0.89,""x_max"":0.14,""y_max"":0.94,""confidence"":0.92}]","[{""x_min"":0.88,""y_min"":0.87,""x_max"":0.98,""y_max"":0.94,""confidence"":0.8}]",[],9028/40,Lustre en cristal à design moderne,40,480.0,0.98,0.95
PHOTO-2026-06-08-15-42-18 2.json,1,2,Lustre en cristal,Luminaires > Luminaires suspendus > Lustres,Luminaires,Lustre,"Ce lustre en cristal doté de multiples pendentifs en verre transparent diffuse une lumière chaleureuse et élégante. Son design contemporain avec une structure en finition dorée apportera une touche sophistiquée et raffinée à votre salon, salle à manger ou entrée. Son effet brillant et sa configuration en couches créent une ambiance lumineuse et décorative idéale pour un intérieur moderne ou classique. Son installation dans une pièce spacieuse permettra d'accentuer l’aspect luxueux et la beauté du cristal, en faisant un véritable point focal qui combine fonctionnalité et décoration.","[""Doré"",""Transparent""]","[{""x_min"":0.01,""y_min"":0.81,""x_max"":0.14,""y_max"":0.89,""confidence"":0.95},{""x_min"":0.01,""y_min"":0.89,""x_max"":0.14,""y_max"":0.94,""confidence"":0.92}]","[{""x_min"":0.88,""y_min"":0.87,""x_max"":0.98,""y_max"":0.94,""confidence"":0.8}]",[],9028/60,Lustre en cristal à design moderne,60,580.0,0.96,0.93
PHOTO-2026-06-08-15-42-18 3.json,1,1,Lustre,Luminaires > Luminaires suspendus > Lustres,Luminaires,Lustres en cristaux,"Ce lustre suspendu ornemente votre espace avec son design élégant et ses cristaux étincelants. Sa structure en métal doré, combinée à ses chaînes de cristaux transparents et ses détails en verre, crée une pièce sophistiquée idéale pour un salon, une salle à manger ou une entrée de style marocain contemporain. Il diffuse une lumière chaleureuse et raffinée, amplifiée par les jeux de reflets des cristaux, apportant une ambiance luxueuse et accueillante à votre intérieur.","[""Doré"",""Transparent""]","[{""x_min"":0.75,""y_min"":0.02,""x_max"":0.92,""y_max"":0.07,""confidence"":0.9},{""x_min"":0.75,""y_min"":0.12,""x_max"":0.92,""y_max"":0.17,""confidence"":0.9}]","[{""x_min"":0.02,""y_min"":0.02,""x_max"":0.16,""y_max"":0.09,""confidence"":0.85}]",[],81025/6,Lustre en cristaux doré,,3950.0,0.95,0.95
