original_name,detected_extension,matched_reference,match_method,reason
2587.jpg,.jpg,2587,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2593.jpg,.jpg,2593,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2594.jpg,.jpg,2594,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2595.jpg,.jpg,2595,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2597_98_99.jpg,.jpg,2597/98/99,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2615_3-1-2-3.jpg,.jpg,2615/3-1-2-3,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2626_2-1-2.png,.png,2626/2-1-2,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2644.    #1,.png,2644,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2644.    #2,.png,2644,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2644.    #3,.png,2644,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2644.    #4,.png,2644,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2644.   #1,.jpg,2644,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2644.   #2,.jpg,2644,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2644.   #3,.jpg,2644,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2644.   #4,.png,2644,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2645.   #1,.png,2645,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2645.   #2,.png,2645,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2645.   #3,.png,2645,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2645.   #4,.png,2645,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2647.  #1,.jpg,2647,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2647.  #2,.jpg,2647,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2647.  #3,.jpg,2647,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2647.  #4,.jpg,2647,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2684.  #1,.jpg,2684,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2684.  #2,.jpg,2684,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2684.  #3,.jpg,2684,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2684.  #4,.png,2684,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2686.   #1,.jpg,2686,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2686.   #2,.jpg,2686,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2686.   #3,.jpg,2686,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2686.   #4,.jpg,2686,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2688.   #1,.jpg,2688,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2688.   #2,.jpg,2688,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2688.   #3,.jpg,2688,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2688.   #4,.jpg,2688,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
269.jpg,.jpg,269.,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
269_.png,.png,269.,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2701_02.jpg,.jpg,2701/02,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2702_03.jpg,.jpg,2702/03,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2707_08.jpg,.jpg,2707/08,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2724_2-1-2.jpg,.jpg,2724/2-1-2,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2726_2-1-2.jpg,.jpg,2726/2-1-2,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2728_2-1-2.jpg,.jpg,2728/2-1-2,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2729.jpg,.jpg,2729,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2733(1).jpg,.jpg,2733,numero-principal-unique,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2733.jpg,.jpg,2733,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2734.png,.png,2734,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2738.png,.png,2738,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2739.png,.png,2739,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2740.   #1,.jpg,2740,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2741.  #1,.jpg,2741,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2741.  #2,.jpg,2741,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2741.  #3,.png,2741,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2741.  #4,.jpg,2741,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2742.jpg,.jpg,2742,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2746.   #1,.jpg,2746,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2746.   #2,.jpg,2746,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2746.   #3,.jpg,2746,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2746.   #4,.jpg,2746,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2747 (white and black).png,.png,2747,exact-sans-couleur,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2747.   #1,.png,2747,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2747.   #2,.jpg,2747,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2747.   #3,.png,2747,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2747.   #4,.jpg,2747,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2749.   #1,.png,2749,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2749.jpg,.jpg,2749,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2750.   #1,.png,2750,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2750.   #2,.png,2750,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2750.   #3,.png,2750,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2750.   #4,.png,2750,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2750.png,.png,2750,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2754 (blue and green).jpg,.jpg,2754,exact-sans-couleur,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2760_2-2.jpg,.jpg,2760/2-2,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2777 (white).png,.png,2777,exact-sans-couleur,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2777.png,.png,2777,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2780 (blue).png,.png,2780,exact-sans-couleur,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2780 (green).png,.png,2780,exact-sans-couleur,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2780 (purple).png,.png,2780,exact-sans-couleur,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2781.jpg,.jpg,2781,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2792_2-1-2.jpg,.jpg,2792/2-1-2,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2797.png,.png,2797,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2799.jpg,.jpg,2799,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2802.jpg,.jpg,2802,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2804.jpg,.jpg,2804,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2811.png,.png,2811,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2813.jpg,.jpg,2813,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2814.jpg,.jpg,2814,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2815.jpg,.jpg,2815,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2816.jpg,.jpg,2816,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2817_3-1-2-3.  #1,.png,2817/3-1-2-3,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2817_3-1-2-3.  #2,.png,2817/3-1-2-3,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2817_3-1-2-3.  #3,.png,2817/3-1-2-3,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2817_3-1-2-3.  #4,.png,2817/3-1-2-3,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2820_2-1-2.   #1,.png,2820/2-1-2,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2820_2-1-2.   #2,.png,2820/2-1-2,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2820_2-1-2.   #3,.png,2820/2-1-2,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2820_2-1-2.   #4,.png,2820/2-1-2,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2829.jpg,.jpg,2829,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2831_2-2.  #1,.jpg,2831/2-2,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2831_2-2.  #2,.jpg,2831/2-2,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2831_2-2.  #3,.jpg,2831/2-2,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2831_2-2.  #4,.png,2831/2-2,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2833_2-2.    #1,.jpg,2833/2-2,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2833_2-2.    #2,.jpg,2833/2-2,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2833_2-2.    #3,.jpg,2833/2-2,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2833_2-2.    #4,.jpg,2833/2-2,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2835.   #1,.jpg,2835,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2835.   #2,.jpg,2835,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2835.   #3,.jpg,2835,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2835.   #4,.jpg,2835,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2844.jpg,.jpg,2844,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2845.jpg,.jpg,2845,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2846.png,.png,2846,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2847.png,.png,2847,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2848.png,.png,2848,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2858.   #1,.jpg,2858,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2858.   #2,.jpg,2858,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2858.   #3,.jpg,2858,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2858.   #4,.jpg,2858,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2863.   #1,.png,2863,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2863.   #2,.png,2863,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2863.   #3,.png,2863,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2863.   #4,.png,2863,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2864(1).   #1,.jpg,2864,numero-principal-unique,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2864(1).   #2,.jpg,2864,numero-principal-unique,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2864(1).   #3,.jpg,2864,numero-principal-unique,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2864(1).   #4,.jpg,2864,numero-principal-unique,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2864.   #1,.jpg,2864,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2864.   #2,.jpg,2864,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2864.   #3,.jpg,2864,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2864.   #4,.jpg,2864,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2865.   #1,.jpg,2865,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2865.   #2,.jpg,2865,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2865.   #3,.jpg,2865,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2865.   #4,.jpg,2865,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2866.    #1,.jpg,2866,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2866.    #2,.jpg,2866,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2866.    #3,.jpg,2866,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2866.    #4,.jpg,2866,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2866.   #1,.jpg,2866,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2866.   #2,.jpg,2866,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2866.   #3,.jpg,2866,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2866.   #4,.jpg,2866,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2868.   #1,.jpg,2868,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2868.   #2,.jpg,2868,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2868.   #3,.jpg,2868,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2868.   #4,.jpg,2868,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2868.jpg,.jpg,2868,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2880_2-1-2.jpg,.jpg,2880/2-1-2,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2884_2-1-2.jpg,.jpg,2884/2-1-2,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2886_2-1-2.jpg,.jpg,2886/2-1-2,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2890_2-1-2.jpg,.jpg,2890/2-1-2,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2924.jpg,.jpg,2924,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2925.jpg,.jpg,2925,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2941_3-1-2-3.jpg,.jpg,2941/3-1-2-3,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
3023.jpg,.jpg,3023,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
3029_90x35.   #1,.png,3029/90×35,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
3029_90x35.   #2,.png,3029/90×35,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
3029_90x35.   #3,.png,3029/90×35,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
3029_90x35.   #4,.png,3029/90×35,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
3030.jpg,.jpg,3030,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
3073_74_75.png,.png,3073/74/75,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
3076_77.jpg,.jpg,3076/77,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
3080.jpg,.jpg,3080,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
3085.jpg,.jpg,3085,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
3119_20_21.png,.png,3119/20/21,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
3125.jpg,.jpg,3125,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
3126.jpg,.jpg,3126,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
3128.png,.png,3128,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
3130.png,.png,3130,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
3133.png,.png,3133,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
3135.png,.png,3135,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
3136.jpg,.jpg,3136,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
3138.jpg,.jpg,3138,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
3141.jpg,.jpg,3141,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
3143.jpg,.jpg,3143,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
3144.jpg,.jpg,3144,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
3147.jpg,.jpg,3147,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
3148.jpg,.jpg,3148,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
3150.jpg,.jpg,3150,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
3153.jpg,.jpg,3153,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
3159.jpg,.jpg,3159,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
3160.png,.png,3160,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
3161.jpg,.jpg,3161,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
3180.jpg,.jpg,3180,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
