original_name,detected_extension_report,detected_extension_real,matched_reference,normalized_reference,match_method,match_score,image_key,source_file,renamed_file,csv_path
1701.  #1,.jpg,.jpg,1701,1701,exact-normalise,100,1701,meubles\1701.  #1,1701-001.jpg,backend/uploads/products/1701-001.jpg
1701.  #2,.jpg,.jpg,1701,1701,exact-normalise,100,1701,meubles\1701.  #2,1701-002.jpg,backend/uploads/products/1701-002.jpg
1701.  #3,.jpg,.jpg,1701,1701,exact-normalise,100,1701,meubles\1701.  #3,1701-003.jpg,backend/uploads/products/1701-003.jpg
1701.  #4,.jpg,.jpg,1701,1701,exact-normalise,100,1701,meubles\1701.  #4,1701-004.jpg,backend/uploads/products/1701-004.jpg
171_90.jpg,.jpg,.jpg,171/90,17190,exact-normalise,100,17190,meubles\171_90.jpg,171-90-001.jpg,backend/uploads/products/171-90-001.jpg
173_.jpg,.jpg,.jpg,173.,173,exact-normalise,100,173,meubles\173_.jpg,173-001.jpg,backend/uploads/products/173-001.jpg
2026 F   #1.png,.png,.png,2026 F,2026f,exact-normalise,100,2026f,meubles\2026 F   #1.png,2026-f-001.png,backend/uploads/products/2026-f-001.png
2026 F   #2.png,.png,.png,2026 F,2026f,exact-normalise,100,2026f,meubles\2026 F   #2.png,2026-f-002.png,backend/uploads/products/2026-f-002.png
2026 F   #3.png,.png,.png,2026 F,2026f,exact-normalise,100,2026f,meubles\2026 F   #3.png,2026-f-003.png,backend/uploads/products/2026-f-003.png
2026 F   #4.png,.png,.png,2026 F,2026f,exact-normalise,100,2026f,meubles\2026 F   #4.png,2026-f-004.png,backend/uploads/products/2026-f-004.png
2101_.png,.png,.png,2101.,2101,exact-normalise,100,2101,meubles\2101_.png,2101-001.png,backend/uploads/products/2101-001.png
2128_3-1-2-3.jpg,.jpg,.jpg,2128/3-1-2-3,21283123,exact-normalise,100,21283123,meubles\2128_3-1-2-3.jpg,2128-3-1-2-3-001.jpg,backend/uploads/products/2128-3-1-2-3-001.jpg
21804.png,.png,.png,21804,21804,exact-normalise,100,21804,meubles\21804.png,21804-001.png,backend/uploads/products/21804-001.png
222.png,.png,.png,222,222,exact-normalise,100,222,meubles\222.png,222-001.png,backend/uploads/products/222-001.png
2233_ grey and white. #1,.png,.png,2233,2233,exact-sans-couleur,98,2233,meubles\2233_ grey and white. #1,2233-001.png,backend/uploads/products/2233-001.png
2233_ grey and white. #2,.png,.png,2233,2233,exact-sans-couleur,98,2233,meubles\2233_ grey and white. #2,2233-002.png,backend/uploads/products/2233-002.png
2233_ grey and white. #3,.png,.png,2233,2233,exact-sans-couleur,98,2233,meubles\2233_ grey and white. #3,2233-003.png,backend/uploads/products/2233-003.png
2233_ grey and white. #4,.png,.png,2233,2233,exact-sans-couleur,98,2233,meubles\2233_ grey and white. #4,2233-004.png,backend/uploads/products/2233-004.png
2233_grey.   #1,.png,.png,2233,2233,exact-sans-couleur,98,2233,meubles\2233_grey.   #1,2233-005.png,backend/uploads/products/2233-005.png
2233_grey.   #2,.png,.png,2233,2233,exact-sans-couleur,98,2233,meubles\2233_grey.   #2,2233-006.png,backend/uploads/products/2233-006.png
2233_grey.   #3,.png,.png,2233,2233,exact-sans-couleur,98,2233,meubles\2233_grey.   #3,2233-007.png,backend/uploads/products/2233-007.png
2233_grey.   #4,.png,.png,2233,2233,exact-sans-couleur,98,2233,meubles\2233_grey.   #4,2233-008.png,backend/uploads/products/2233-008.png
2233_white.   #1,.png,.png,2233,2233,exact-sans-couleur,98,2233,meubles\2233_white.   #1,2233-009.png,backend/uploads/products/2233-009.png
2233_white.   #2,.png,.png,2233,2233,exact-sans-couleur,98,2233,meubles\2233_white.   #2,2233-010.png,backend/uploads/products/2233-010.png
2233_white.   #3,.png,.png,2233,2233,exact-sans-couleur,98,2233,meubles\2233_white.   #3,2233-011.png,backend/uploads/products/2233-011.png
2233_white.   #4,.png,.png,2233,2233,exact-sans-couleur,98,2233,meubles\2233_white.   #4,2233-012.png,backend/uploads/products/2233-012.png
2309.jpg,.jpg,.jpg,2309,2309,exact-normalise,100,2309,meubles\2309.jpg,2309-001.jpg,backend/uploads/products/2309-001.jpg
2310.png,.png,.png,2310,2310,exact-normalise,100,2310,meubles\2310.png,2310-001.png,backend/uploads/products/2310-001.png
2377.png,.png,.png,2377,2377,exact-normalise,100,2377,meubles\2377.png,2377-001.png,backend/uploads/products/2377-001.png
2408.png,.png,.png,2408,2408,exact-normalise,100,2408,meubles\2408.png,2408-001.png,backend/uploads/products/2408-001.png
2442.   #1,.jpg,.jpg,2442,2442,exact-normalise,100,2442,meubles\2442.   #1,2442-001.jpg,backend/uploads/products/2442-001.jpg
2442.   #2,.jpg,.jpg,2442,2442,exact-normalise,100,2442,meubles\2442.   #2,2442-002.jpg,backend/uploads/products/2442-002.jpg
2442.   #3,.jpg,.jpg,2442,2442,exact-normalise,100,2442,meubles\2442.   #3,2442-003.jpg,backend/uploads/products/2442-003.jpg
2442.   #4,.jpg,.jpg,2442,2442,exact-normalise,100,2442,meubles\2442.   #4,2442-004.jpg,backend/uploads/products/2442-004.jpg
2443.   #1,.jpg,.jpg,2443,2443,exact-normalise,100,2443,meubles\2443.   #1,2443-001.jpg,backend/uploads/products/2443-001.jpg
2443.   #2,.jpg,.jpg,2443,2443,exact-normalise,100,2443,meubles\2443.   #2,2443-002.jpg,backend/uploads/products/2443-002.jpg
2443.   #3,.jpg,.jpg,2443,2443,exact-normalise,100,2443,meubles\2443.   #3,2443-003.jpg,backend/uploads/products/2443-003.jpg
2443.   #4,.png,.png,2443,2443,exact-normalise,100,2443,meubles\2443.   #4,2443-004.png,backend/uploads/products/2443-004.png
2462 (purple).jpg,.jpg,.jpg,2462,2462,exact-sans-couleur,98,2462,meubles\2462 (purple).jpg,2462-001.jpg,backend/uploads/products/2462-001.jpg
2462 (yellow).jpg,.jpg,.jpg,2462,2462,exact-sans-couleur,98,2462,meubles\2462 (yellow).jpg,2462-002.jpg,backend/uploads/products/2462-002.jpg
2503 (black).png,.png,.png,2503,2503,exact-sans-couleur,98,2503,meubles\2503 (black).png,2503-001.png,backend/uploads/products/2503-001.png
2503 (white).jpg,.jpg,.jpg,2503,2503,exact-sans-couleur,98,2503,meubles\2503 (white).jpg,2503-002.jpg,backend/uploads/products/2503-002.jpg
2557.jpg,.jpg,.jpg,2557,2557,exact-normalise,100,2557,meubles\2557.jpg,2557-001.jpg,backend/uploads/products/2557-001.jpg
2569.png,.png,.png,2569,2569,exact-normalise,100,2569,meubles\2569.png,2569-001.png,backend/uploads/products/2569-001.png
2570.jpg,.jpg,.jpg,2570,2570,exact-normalise,100,2570,meubles\2570.jpg,2570-001.jpg,backend/uploads/products/2570-001.jpg
2572.jpg,.jpg,.jpg,2572,2572,exact-normalise,100,2572,meubles\2572.jpg,2572-001.jpg,backend/uploads/products/2572-001.jpg
2587.jpg,.jpg,.jpg,2587,2587,exact-normalise,100,2587,meubles\2587.jpg,2587-001.jpg,backend/uploads/products/2587-001.jpg
2593.jpg,.jpg,.jpg,2593,2593,exact-normalise,100,2593,meubles\2593.jpg,2593-001.jpg,backend/uploads/products/2593-001.jpg
2594.jpg,.jpg,.jpg,2594,2594,exact-normalise,100,2594,meubles\2594.jpg,2594-001.jpg,backend/uploads/products/2594-001.jpg
2595.jpg,.jpg,.jpg,2595,2595,exact-normalise,100,2595,meubles\2595.jpg,2595-001.jpg,backend/uploads/products/2595-001.jpg
2597_98_99.jpg,.jpg,.jpg,2597/98/99,25979899,exact-normalise,100,25979899,meubles\2597_98_99.jpg,2597-98-99-001.jpg,backend/uploads/products/2597-98-99-001.jpg
2615_3-1-2-3.jpg,.jpg,.jpg,2615/3-1-2-3,26153123,exact-normalise,100,26153123,meubles\2615_3-1-2-3.jpg,2615-3-1-2-3-001.jpg,backend/uploads/products/2615-3-1-2-3-001.jpg
2626_2-1-2.png,.png,.png,2626/2-1-2,2626212,exact-normalise,100,2626212,meubles\2626_2-1-2.png,2626-2-1-2-001.png,backend/uploads/products/2626-2-1-2-001.png
2644.    #1,.png,.png,2644,2644,exact-normalise,100,2644,meubles\2644.    #1,2644-001.png,backend/uploads/products/2644-001.png
2644.    #2,.png,.png,2644,2644,exact-normalise,100,2644,meubles\2644.    #2,2644-002.png,backend/uploads/products/2644-002.png
2644.    #3,.png,.png,2644,2644,exact-normalise,100,2644,meubles\2644.    #3,2644-003.png,backend/uploads/products/2644-003.png
2644.    #4,.png,.png,2644,2644,exact-normalise,100,2644,meubles\2644.    #4,2644-004.png,backend/uploads/products/2644-004.png
2644.   #1,.jpg,.jpg,2644,2644,exact-normalise,100,2644,meubles\2644.   #1,2644-005.jpg,backend/uploads/products/2644-005.jpg
2644.   #2,.jpg,.jpg,2644,2644,exact-normalise,100,2644,meubles\2644.   #2,2644-006.jpg,backend/uploads/products/2644-006.jpg
2644.   #3,.jpg,.jpg,2644,2644,exact-normalise,100,2644,meubles\2644.   #3,2644-007.jpg,backend/uploads/products/2644-007.jpg
2644.   #4,.png,.png,2644,2644,exact-normalise,100,2644,meubles\2644.   #4,2644-008.png,backend/uploads/products/2644-008.png
2645.   #1,.png,.png,2645,2645,exact-normalise,100,2645,meubles\2645.   #1,2645-001.png,backend/uploads/products/2645-001.png
2645.   #2,.png,.png,2645,2645,exact-normalise,100,2645,meubles\2645.   #2,2645-002.png,backend/uploads/products/2645-002.png
2645.   #3,.png,.png,2645,2645,exact-normalise,100,2645,meubles\2645.   #3,2645-003.png,backend/uploads/products/2645-003.png
2645.   #4,.png,.png,2645,2645,exact-normalise,100,2645,meubles\2645.   #4,2645-004.png,backend/uploads/products/2645-004.png
2647.  #1,.jpg,.jpg,2647,2647,exact-normalise,100,2647,meubles\2647.  #1,2647-001.jpg,backend/uploads/products/2647-001.jpg
2647.  #2,.jpg,.jpg,2647,2647,exact-normalise,100,2647,meubles\2647.  #2,2647-002.jpg,backend/uploads/products/2647-002.jpg
2647.  #3,.jpg,.jpg,2647,2647,exact-normalise,100,2647,meubles\2647.  #3,2647-003.jpg,backend/uploads/products/2647-003.jpg
2647.  #4,.jpg,.jpg,2647,2647,exact-normalise,100,2647,meubles\2647.  #4,2647-004.jpg,backend/uploads/products/2647-004.jpg
2684.  #1,.jpg,.jpg,2684,2684,exact-normalise,100,2684,meubles\2684.  #1,2684-001.jpg,backend/uploads/products/2684-001.jpg
2684.  #2,.jpg,.jpg,2684,2684,exact-normalise,100,2684,meubles\2684.  #2,2684-002.jpg,backend/uploads/products/2684-002.jpg
2684.  #3,.jpg,.jpg,2684,2684,exact-normalise,100,2684,meubles\2684.  #3,2684-003.jpg,backend/uploads/products/2684-003.jpg
2684.  #4,.png,.png,2684,2684,exact-normalise,100,2684,meubles\2684.  #4,2684-004.png,backend/uploads/products/2684-004.png
2686.   #1,.jpg,.jpg,2686,2686,exact-normalise,100,2686,meubles\2686.   #1,2686-001.jpg,backend/uploads/products/2686-001.jpg
2686.   #2,.jpg,.jpg,2686,2686,exact-normalise,100,2686,meubles\2686.   #2,2686-002.jpg,backend/uploads/products/2686-002.jpg
2686.   #3,.jpg,.jpg,2686,2686,exact-normalise,100,2686,meubles\2686.   #3,2686-003.jpg,backend/uploads/products/2686-003.jpg
2686.   #4,.jpg,.jpg,2686,2686,exact-normalise,100,2686,meubles\2686.   #4,2686-004.jpg,backend/uploads/products/2686-004.jpg
2688.   #1,.jpg,.jpg,2688,2688,exact-normalise,100,2688,meubles\2688.   #1,2688-001.jpg,backend/uploads/products/2688-001.jpg
2688.   #2,.jpg,.jpg,2688,2688,exact-normalise,100,2688,meubles\2688.   #2,2688-002.jpg,backend/uploads/products/2688-002.jpg
2688.   #3,.jpg,.jpg,2688,2688,exact-normalise,100,2688,meubles\2688.   #3,2688-003.jpg,backend/uploads/products/2688-003.jpg
2688.   #4,.jpg,.jpg,2688,2688,exact-normalise,100,2688,meubles\2688.   #4,2688-004.jpg,backend/uploads/products/2688-004.jpg
269.jpg,.jpg,.jpg,269.,269,exact-normalise,100,269,meubles\269.jpg,269-001.jpg,backend/uploads/products/269-001.jpg
269_.png,.png,.png,269.,269,exact-normalise,100,269,meubles\269_.png,269-002.png,backend/uploads/products/269-002.png
2701_02.jpg,.jpg,.jpg,2701/02,270102,exact-normalise,100,270102,meubles\2701_02.jpg,2701-02-001.jpg,backend/uploads/products/2701-02-001.jpg
2702_03.jpg,.jpg,.jpg,2702/03,270203,exact-normalise,100,270203,meubles\2702_03.jpg,2702-03-001.jpg,backend/uploads/products/2702-03-001.jpg
2707_08.jpg,.jpg,.jpg,2707/08,270708,exact-normalise,100,270708,meubles\2707_08.jpg,2707-08-001.jpg,backend/uploads/products/2707-08-001.jpg
2724_2-1-2.jpg,.jpg,.jpg,2724/2-1-2,2724212,exact-normalise,100,2724212,meubles\2724_2-1-2.jpg,2724-2-1-2-001.jpg,backend/uploads/products/2724-2-1-2-001.jpg
2726_2-1-2.jpg,.jpg,.jpg,2726/2-1-2,2726212,exact-normalise,100,2726212,meubles\2726_2-1-2.jpg,2726-2-1-2-001.jpg,backend/uploads/products/2726-2-1-2-001.jpg
2728_2-1-2.jpg,.jpg,.jpg,2728/2-1-2,2728212,exact-normalise,100,2728212,meubles\2728_2-1-2.jpg,2728-2-1-2-001.jpg,backend/uploads/products/2728-2-1-2-001.jpg
2729.jpg,.jpg,.jpg,2729,2729,exact-normalise,100,2729,meubles\2729.jpg,2729-001.jpg,backend/uploads/products/2729-001.jpg
2733(1).jpg,.jpg,.jpg,2733,2733,numero-principal-unique,88,27331,meubles\2733(1).jpg,2733-001.jpg,backend/uploads/products/2733-001.jpg
2733.jpg,.jpg,.jpg,2733,2733,exact-normalise,100,2733,meubles\2733.jpg,2733-002.jpg,backend/uploads/products/2733-002.jpg
2734.png,.png,.png,2734,2734,exact-normalise,100,2734,meubles\2734.png,2734-001.png,backend/uploads/products/2734-001.png
2738.png,.png,.png,2738,2738,exact-normalise,100,2738,meubles\2738.png,2738-001.png,backend/uploads/products/2738-001.png
2739.png,.png,.png,2739,2739,exact-normalise,100,2739,meubles\2739.png,2739-001.png,backend/uploads/products/2739-001.png
2740.   #1,.jpg,.jpg,2740,2740,exact-normalise,100,2740,meubles\2740.   #1,2740-001.jpg,backend/uploads/products/2740-001.jpg
2741.  #1,.jpg,.jpg,2741,2741,exact-normalise,100,2741,meubles\2741.  #1,2741-001.jpg,backend/uploads/products/2741-001.jpg
2741.  #2,.jpg,.jpg,2741,2741,exact-normalise,100,2741,meubles\2741.  #2,2741-002.jpg,backend/uploads/products/2741-002.jpg
2741.  #3,.png,.png,2741,2741,exact-normalise,100,2741,meubles\2741.  #3,2741-003.png,backend/uploads/products/2741-003.png
2741.  #4,.jpg,.jpg,2741,2741,exact-normalise,100,2741,meubles\2741.  #4,2741-004.jpg,backend/uploads/products/2741-004.jpg
2742.jpg,.jpg,.jpg,2742,2742,exact-normalise,100,2742,meubles\2742.jpg,2742-001.jpg,backend/uploads/products/2742-001.jpg
2746.   #1,.jpg,.jpg,2746,2746,exact-normalise,100,2746,meubles\2746.   #1,2746-001.jpg,backend/uploads/products/2746-001.jpg
2746.   #2,.jpg,.jpg,2746,2746,exact-normalise,100,2746,meubles\2746.   #2,2746-002.jpg,backend/uploads/products/2746-002.jpg
2746.   #3,.jpg,.jpg,2746,2746,exact-normalise,100,2746,meubles\2746.   #3,2746-003.jpg,backend/uploads/products/2746-003.jpg
2746.   #4,.jpg,.jpg,2746,2746,exact-normalise,100,2746,meubles\2746.   #4,2746-004.jpg,backend/uploads/products/2746-004.jpg
2747 (white and black).png,.png,.png,2747,2747,exact-sans-couleur,98,2747,meubles\2747 (white and black).png,2747-001.png,backend/uploads/products/2747-001.png
2747.   #1,.png,.png,2747,2747,exact-normalise,100,2747,meubles\2747.   #1,2747-002.png,backend/uploads/products/2747-002.png
2747.   #2,.jpg,.jpg,2747,2747,exact-normalise,100,2747,meubles\2747.   #2,2747-003.jpg,backend/uploads/products/2747-003.jpg
2747.   #3,.png,.png,2747,2747,exact-normalise,100,2747,meubles\2747.   #3,2747-004.png,backend/uploads/products/2747-004.png
2747.   #4,.jpg,.jpg,2747,2747,exact-normalise,100,2747,meubles\2747.   #4,2747-005.jpg,backend/uploads/products/2747-005.jpg
2749.   #1,.png,.png,2749,2749,exact-normalise,100,2749,meubles\2749.   #1,2749-001.png,backend/uploads/products/2749-001.png
2749.jpg,.jpg,.jpg,2749,2749,exact-normalise,100,2749,meubles\2749.jpg,2749-002.jpg,backend/uploads/products/2749-002.jpg
2750.   #1,.png,.png,2750,2750,exact-normalise,100,2750,meubles\2750.   #1,2750-001.png,backend/uploads/products/2750-001.png
2750.   #2,.png,.png,2750,2750,exact-normalise,100,2750,meubles\2750.   #2,2750-002.png,backend/uploads/products/2750-002.png
2750.   #3,.png,.png,2750,2750,exact-normalise,100,2750,meubles\2750.   #3,2750-003.png,backend/uploads/products/2750-003.png
2750.   #4,.png,.png,2750,2750,exact-normalise,100,2750,meubles\2750.   #4,2750-004.png,backend/uploads/products/2750-004.png
2750.png,.png,.png,2750,2750,exact-normalise,100,2750,meubles\2750.png,2750-005.png,backend/uploads/products/2750-005.png
2754 (blue and green).jpg,.jpg,.jpg,2754,2754,exact-sans-couleur,98,2754,meubles\2754 (blue and green).jpg,2754-001.jpg,backend/uploads/products/2754-001.jpg
2760_2-2.jpg,.jpg,.jpg,2760/2-2,276022,exact-normalise,100,276022,meubles\2760_2-2.jpg,2760-2-2-001.jpg,backend/uploads/products/2760-2-2-001.jpg
2777 (white).png,.png,.png,2777,2777,exact-sans-couleur,98,2777,meubles\2777 (white).png,2777-001.png,backend/uploads/products/2777-001.png
2777.png,.png,.png,2777,2777,exact-normalise,100,2777,meubles\2777.png,2777-002.png,backend/uploads/products/2777-002.png
2780 (blue).png,.png,.png,2780,2780,exact-sans-couleur,98,2780,meubles\2780 (blue).png,2780-001.png,backend/uploads/products/2780-001.png
2780 (green).png,.png,.png,2780,2780,exact-sans-couleur,98,2780,meubles\2780 (green).png,2780-002.png,backend/uploads/products/2780-002.png
2780 (purple).png,.png,.png,2780,2780,exact-sans-couleur,98,2780,meubles\2780 (purple).png,2780-003.png,backend/uploads/products/2780-003.png
2781.jpg,.jpg,.jpg,2781,2781,exact-normalise,100,2781,meubles\2781.jpg,2781-001.jpg,backend/uploads/products/2781-001.jpg
2792_2-1-2.jpg,.jpg,.jpg,2792/2-1-2,2792212,exact-normalise,100,2792212,meubles\2792_2-1-2.jpg,2792-2-1-2-001.jpg,backend/uploads/products/2792-2-1-2-001.jpg
2797.png,.png,.png,2797,2797,exact-normalise,100,2797,meubles\2797.png,2797-001.png,backend/uploads/products/2797-001.png
2799.jpg,.jpg,.jpg,2799,2799,exact-normalise,100,2799,meubles\2799.jpg,2799-001.jpg,backend/uploads/products/2799-001.jpg
2802.jpg,.jpg,.jpg,2802,2802,exact-normalise,100,2802,meubles\2802.jpg,2802-001.jpg,backend/uploads/products/2802-001.jpg
2804.jpg,.jpg,.jpg,2804,2804,exact-normalise,100,2804,meubles\2804.jpg,2804-001.jpg,backend/uploads/products/2804-001.jpg
2811.png,.png,.png,2811,2811,exact-normalise,100,2811,meubles\2811.png,2811-001.png,backend/uploads/products/2811-001.png
2813.jpg,.jpg,.jpg,2813,2813,exact-normalise,100,2813,meubles\2813.jpg,2813-001.jpg,backend/uploads/products/2813-001.jpg
2814.jpg,.jpg,.jpg,2814,2814,exact-normalise,100,2814,meubles\2814.jpg,2814-001.jpg,backend/uploads/products/2814-001.jpg
2815.jpg,.jpg,.jpg,2815,2815,exact-normalise,100,2815,meubles\2815.jpg,2815-001.jpg,backend/uploads/products/2815-001.jpg
2816.jpg,.jpg,.jpg,2816,2816,exact-normalise,100,2816,meubles\2816.jpg,2816-001.jpg,backend/uploads/products/2816-001.jpg
2817_3-1-2-3.  #1,.png,.png,2817/3-1-2-3,28173123,exact-normalise,100,28173123,meubles\2817_3-1-2-3.  #1,2817-3-1-2-3-001.png,backend/uploads/products/2817-3-1-2-3-001.png
2817_3-1-2-3.  #2,.png,.png,2817/3-1-2-3,28173123,exact-normalise,100,28173123,meubles\2817_3-1-2-3.  #2,2817-3-1-2-3-002.png,backend/uploads/products/2817-3-1-2-3-002.png
2817_3-1-2-3.  #3,.png,.png,2817/3-1-2-3,28173123,exact-normalise,100,28173123,meubles\2817_3-1-2-3.  #3,2817-3-1-2-3-003.png,backend/uploads/products/2817-3-1-2-3-003.png
2817_3-1-2-3.  #4,.png,.png,2817/3-1-2-3,28173123,exact-normalise,100,28173123,meubles\2817_3-1-2-3.  #4,2817-3-1-2-3-004.png,backend/uploads/products/2817-3-1-2-3-004.png
2820_2-1-2.   #1,.png,.png,2820/2-1-2,2820212,exact-normalise,100,2820212,meubles\2820_2-1-2.   #1,2820-2-1-2-001.png,backend/uploads/products/2820-2-1-2-001.png
2820_2-1-2.   #2,.png,.png,2820/2-1-2,2820212,exact-normalise,100,2820212,meubles\2820_2-1-2.   #2,2820-2-1-2-002.png,backend/uploads/products/2820-2-1-2-002.png
2820_2-1-2.   #3,.png,.png,2820/2-1-2,2820212,exact-normalise,100,2820212,meubles\2820_2-1-2.   #3,2820-2-1-2-003.png,backend/uploads/products/2820-2-1-2-003.png
2820_2-1-2.   #4,.png,.png,2820/2-1-2,2820212,exact-normalise,100,2820212,meubles\2820_2-1-2.   #4,2820-2-1-2-004.png,backend/uploads/products/2820-2-1-2-004.png
2829.jpg,.jpg,.jpg,2829,2829,exact-normalise,100,2829,meubles\2829.jpg,2829-001.jpg,backend/uploads/products/2829-001.jpg
2831_2-2.  #1,.jpg,.jpg,2831/2-2,283122,exact-normalise,100,283122,meubles\2831_2-2.  #1,2831-2-2-001.jpg,backend/uploads/products/2831-2-2-001.jpg
2831_2-2.  #2,.jpg,.jpg,2831/2-2,283122,exact-normalise,100,283122,meubles\2831_2-2.  #2,2831-2-2-002.jpg,backend/uploads/products/2831-2-2-002.jpg
2831_2-2.  #3,.jpg,.jpg,2831/2-2,283122,exact-normalise,100,283122,meubles\2831_2-2.  #3,2831-2-2-003.jpg,backend/uploads/products/2831-2-2-003.jpg
2831_2-2.  #4,.png,.png,2831/2-2,283122,exact-normalise,100,283122,meubles\2831_2-2.  #4,2831-2-2-004.png,backend/uploads/products/2831-2-2-004.png
2833_2-2.    #1,.jpg,.jpg,2833/2-2,283322,exact-normalise,100,283322,meubles\2833_2-2.    #1,2833-2-2-001.jpg,backend/uploads/products/2833-2-2-001.jpg
2833_2-2.    #2,.jpg,.jpg,2833/2-2,283322,exact-normalise,100,283322,meubles\2833_2-2.    #2,2833-2-2-002.jpg,backend/uploads/products/2833-2-2-002.jpg
2833_2-2.    #3,.jpg,.jpg,2833/2-2,283322,exact-normalise,100,283322,meubles\2833_2-2.    #3,2833-2-2-003.jpg,backend/uploads/products/2833-2-2-003.jpg
2833_2-2.    #4,.jpg,.jpg,2833/2-2,283322,exact-normalise,100,283322,meubles\2833_2-2.    #4,2833-2-2-004.jpg,backend/uploads/products/2833-2-2-004.jpg
2835.   #1,.jpg,.jpg,2835,2835,exact-normalise,100,2835,meubles\2835.   #1,2835-001.jpg,backend/uploads/products/2835-001.jpg
2835.   #2,.jpg,.jpg,2835,2835,exact-normalise,100,2835,meubles\2835.   #2,2835-002.jpg,backend/uploads/products/2835-002.jpg
2835.   #3,.jpg,.jpg,2835,2835,exact-normalise,100,2835,meubles\2835.   #3,2835-003.jpg,backend/uploads/products/2835-003.jpg
2835.   #4,.jpg,.jpg,2835,2835,exact-normalise,100,2835,meubles\2835.   #4,2835-004.jpg,backend/uploads/products/2835-004.jpg
2844.jpg,.jpg,.jpg,2844,2844,exact-normalise,100,2844,meubles\2844.jpg,2844-001.jpg,backend/uploads/products/2844-001.jpg
2845.jpg,.jpg,.jpg,2845,2845,exact-normalise,100,2845,meubles\2845.jpg,2845-001.jpg,backend/uploads/products/2845-001.jpg
2846.png,.png,.png,2846,2846,exact-normalise,100,2846,meubles\2846.png,2846-001.png,backend/uploads/products/2846-001.png
2847.png,.png,.png,2847,2847,exact-normalise,100,2847,meubles\2847.png,2847-001.png,backend/uploads/products/2847-001.png
2848.png,.png,.png,2848,2848,exact-normalise,100,2848,meubles\2848.png,2848-001.png,backend/uploads/products/2848-001.png
2858.   #1,.jpg,.jpg,2858,2858,exact-normalise,100,2858,meubles\2858.   #1,2858-001.jpg,backend/uploads/products/2858-001.jpg
2858.   #2,.jpg,.jpg,2858,2858,exact-normalise,100,2858,meubles\2858.   #2,2858-002.jpg,backend/uploads/products/2858-002.jpg
2858.   #3,.jpg,.jpg,2858,2858,exact-normalise,100,2858,meubles\2858.   #3,2858-003.jpg,backend/uploads/products/2858-003.jpg
2858.   #4,.jpg,.jpg,2858,2858,exact-normalise,100,2858,meubles\2858.   #4,2858-004.jpg,backend/uploads/products/2858-004.jpg
2863.   #1,.png,.png,2863,2863,exact-normalise,100,2863,meubles\2863.   #1,2863-001.png,backend/uploads/products/2863-001.png
2863.   #2,.png,.png,2863,2863,exact-normalise,100,2863,meubles\2863.   #2,2863-002.png,backend/uploads/products/2863-002.png
2863.   #3,.png,.png,2863,2863,exact-normalise,100,2863,meubles\2863.   #3,2863-003.png,backend/uploads/products/2863-003.png
2863.   #4,.png,.png,2863,2863,exact-normalise,100,2863,meubles\2863.   #4,2863-004.png,backend/uploads/products/2863-004.png
